"Feature","Capability","Capability type (backend - frontend - vertical slice)","Phase","Status","Business goal","User outcome","Notes / constraints","Primary actor","Allowed root roles","Minimum role required","Explicitly denied roles","Authorization summary","Frontend visibility rule","Backend enforcement rule","Audit actor role required?","Frontend required?","Frontend route","Frontend surface","Frontend states","Session / expiry behavior","Client-side permission behavior","API required?","Route(s)","Request contract","Response contract","Error contract","Feature seam(s)","Cross-feature seams","Persistence impact","Migration required?","Indexes / uniqueness","Search / filter model","Session / auth dependency","Compatibility / migration notes","Authentication requirement","Authorization enforcement layer","CSP / browser security impact","Audit requirement","Privacy / personal data impact","Standards impact","PRD required?","ADR required?","Test-case doc required?","Feature docs update required?","Runbook required?","Standards review required?","Repo health review required?","Traceability status","Lifecycle version/status","Unit tests","Integration tests","Security tests","Audit tests","Edge tests","Frontend tests","Acceptance notes"
"rootUsers","createRootUser","backend","Build","Draft imported from RootUser V2.3","Create a durable root-user record for platform administration.","Operator can add a root user and immediately receive the stored record.","Derived from legacy RootUser V2.3 workbook and new matrix template. Legacy workbook says status defaults to active unless explicitly set to inactive.","Privileged internal operator; exact role model not specified in RootUser V2.3.","Not specified in RootUser V2.3.","Not specified in RootUser V2.3.","Not specified in RootUser V2.3.","Legacy workbook does not define authorization; assume this is a privileged internal capability.","No frontend behavior specified in RootUser V2.3.","Server must enforce any eventual privileged access rule before creating a root user.","Not specified in RootUser V2.3; likely yes for operator-sensitive actions.","No","","","n/a","No session-specific client behavior specified.","No frontend permission behavior specified.","Yes","POST /v1/root-users","body: { email: string; firstName?: string; lastName?: string }","201 with rootUserId, email, firstName?, lastName?, anonymized=false, status, createdAt, updatedAt, deletedAt=null.","400 INVALID_REQUEST for invalid body; 409 ROOT_USER_EMAIL_ALREADY_EXISTS for duplicate active email.","Uses rootUsers create capability and persistence insert path.","No cross-feature seams specified in RootUser V2.3.","Insert root_users row with UUID, normalized email, timestamps, status, anonymized=false, deletedAt=null.","Yes","Unique non-deleted email; primary key on rootUserId; B-tree on normalized email.","Mutation capability; no retrieval filters; uniqueness relies on normalized scalar email column.","Auth/session dependency not specified in RootUser V2.3.","Legacy workbook predates the newer template; authz and platform details need later refinement.","Not specified in RootUser V2.3; likely authenticated privileged operator.","Not specified in RootUser V2.3.","No browser security impact specified.","Should likely capture actor and created record, but not specified in RootUser V2.3.","Stores root user personal data: email, firstName, lastName.","Must respect durable entity, normalization, uniqueness, and validation rules.","Yes","No","Yes","Yes","No","Yes","Yes","Imported from RootUser V2.3 workbook; not yet reconciled with newer repo docs.","v2.3 legacy import / draft","Create with UUID and timestamps; normalize email; reject duplicate active email; default status and deletedAt correctly.","Create then retrieve through lookup/list capabilities; confirm stored row shape and visibility.","Reject invalid body and duplicate email; confirm system-managed fields cannot be client supplied when contract is formalized.","Verify create action is operator-visible if audit model exists.","Empty string rejection; duplicate normalized email; invalid email format.","n/a","Done when create behavior, validation, docs, and tests align with the approved rootUsers contract."
"rootUsers","getRootUser","backend","Build","Draft imported from RootUser V2.3","Retrieve one root user by UUID through the normal visible-read path.","Operator can fetch a root user's details by ID when the row is visible.","Legacy workbook says anonymized and soft-deleted users are never returned by normal lookup.","Privileged internal operator; exact role model not specified in RootUser V2.3.","Not specified in RootUser V2.3.","Not specified in RootUser V2.3.","Not specified in RootUser V2.3.","Legacy workbook does not define authorization; assume this is a privileged internal capability.","No frontend behavior specified in RootUser V2.3.","Server must enforce any eventual privileged access rule before returning the row.","Not specified in RootUser V2.3; likely yes for operator-sensitive reads.","No","","","n/a","No session-specific client behavior specified.","No frontend permission behavior specified.","Yes","GET /v1/root-users/:rootUserId","params: { rootUserId: string }; body/query: none.","200 with visible root-user summary including timestamps and deletedAt as stored.","400 INVALID_REQUEST for invalid UUID; 404 ROOT_USER_NOT_FOUND when row is missing, deleted, or anonymized for the normal read path.","Uses rootUsers exact-lookup capability by ID.","No cross-feature seams specified in RootUser V2.3.","Read one row by UUID from root_users visible-read scope.","No","Primary key B-tree on rootUserId.","Exact lookup on rootUserId eq only; normal reads exclude soft-deleted and anonymized rows.","Auth/session dependency not specified in RootUser V2.3.","Legacy workbook combines route options elsewhere; this row is the ID lookup path only.","Not specified in RootUser V2.3; likely authenticated privileged operator.","Not specified in RootUser V2.3.","No browser security impact specified.","Operator-visible reads may later need audit policy, but none is specified here.","Exposes root user personal data when visible.","Must respect exact lookup, visibility, validation, and stable error rules.","Yes","No","Yes","Yes","No","Yes","Yes","Imported from RootUser V2.3 workbook; not yet reconciled with newer repo docs.","v2.3 legacy import / draft","Return visible user for valid UUID; 400 invalid UUID; 404 unknown/deleted/anonymized UUID.","Create then fetch by ID; confirm hidden rows stay excluded from normal reads.","Reject malformed UUIDs and unauthorized access once authz is formalized.","If read access becomes auditable, verify actor and target capture.","Unknown ID; deleted row; anonymized row.","n/a","Done when exact ID lookup, hidden-row behavior, docs, and tests align with the approved contract."
"rootUsers","getRootUserByEmail","backend","Build","Draft imported from RootUser V2.3","Retrieve one root user by normalized email through the normal visible-read path.","Operator can fetch a root user's details by email when the row is visible.","Legacy workbook says lookup is exact match on normalized lowercase email and excludes soft-deleted and anonymized rows.","Privileged internal operator; exact role model not specified in RootUser V2.3.","Not specified in RootUser V2.3.","Not specified in RootUser V2.3.","Not specified in RootUser V2.3.","Legacy workbook does not define authorization; assume this is a privileged internal capability.","No frontend behavior specified in RootUser V2.3.","Server must enforce any eventual privileged access rule before returning the row.","Not specified in RootUser V2.3; likely yes for operator-sensitive reads.","No","","","n/a","No session-specific client behavior specified.","No frontend permission behavior specified.","Yes","GET /v1/root-users?email={email}","query: { email: string }; body/params: none; email normalized before exact lookup.","200 with visible root-user summary including timestamps and deletedAt as stored.","400 INVALID_REQUEST for missing/invalid email query; 404 ROOT_USER_NOT_FOUND when row is missing, deleted, or anonymized for the normal read path.","Uses rootUsers exact-lookup capability by normalized email.","No cross-feature seams specified in RootUser V2.3.","Read one row by normalized email from root_users visible-read scope.","No","B-tree on normalized email; uniqueness among non-deleted rows.","Exact lookup on normalized email eq only; normal reads exclude soft-deleted and anonymized rows.","Auth/session dependency not specified in RootUser V2.3.","Legacy workbook treats this as a separate capability from ID lookup.","Not specified in RootUser V2.3; likely authenticated privileged operator.","Not specified in RootUser V2.3.","No browser security impact specified.","Operator-visible reads may later need audit policy, but none is specified here.","Exposes root user personal data when visible.","Must respect normalization, visibility, validation, and stable error rules.","Yes","No","Yes","Yes","No","Yes","Yes","Imported from RootUser V2.3 workbook; not yet reconciled with newer repo docs.","v2.3 legacy import / draft","Return visible user for exact email; normalize email before lookup; 400 invalid email; 404 unknown/deleted/anonymized email.","Create then fetch by email; confirm hidden rows stay excluded from normal reads.","Reject malformed email input and unauthorized access once authz is formalized.","If read access becomes auditable, verify actor and target capture.","Unknown email; deleted row; anonymized row.","n/a","Done when exact email lookup, normalization, hidden-row behavior, docs, and tests align with the approved contract."
"rootUsers","listRootUsers","backend","Build","Draft imported from RootUser V2.3","Provide a paginated searchable list of root users in the general listing scope.","Operator can browse root users with pagination, filters, and totals.","Legacy workbook says this list includes non-deleted and soft-deleted rows but excludes anonymized rows; totals cap at 10000+.","Privileged internal operator; exact role model not specified in RootUser V2.3.","Not specified in RootUser V2.3.","Not specified in RootUser V2.3.","Not specified in RootUser V2.3.","Legacy workbook does not define authorization; assume this is a privileged internal capability.","No frontend behavior specified in RootUser V2.3.","Server must enforce any eventual privileged access rule before returning the list.","Not specified in RootUser V2.3; likely yes for operator-sensitive reads.","No","","","n/a","No session-specific client behavior specified.","No frontend permission behavior specified.","Yes","GET /v1/root-users","query: page?, pageSize?, orderBy?, orderDirection?, emailPrefix?, firstNamePrefix?, lastNamePrefix?, createdAtFrom?, createdAtTo?, updatedAtFrom?, updatedAtTo?, deletedAtFrom?, deletedAtTo?, status?.","200 paginated response with items, page, pageSize, totalPages, totalSearchableRecords, totalMatchingRecords.","400 INVALID_REQUEST for invalid page, pageSize, or sorting fields.","Uses rootUsers list capability with pagination, filtering, and sort rules.","No cross-feature seams specified in RootUser V2.3.","Read paginated list from root_users general listing scope and compute totals before/after filters.","No","B-tree on normalized email, normalized first name, normalized last name, createdAt, updatedAt, deletedAt, status.","Prefix search on email/firstName/lastName; date ranges on createdAt/updatedAt/deletedAt; eq on status; AND-combined filters; default orderBy updatedAt; exclude anonymized; include soft-deleted.","Auth/session dependency not specified in RootUser V2.3.","Legacy behavior here may differ from newer docs because this row preserves the old workbook's general-list semantics.","Not specified in RootUser V2.3; likely authenticated privileged operator.","Not specified in RootUser V2.3.","No browser security impact specified.","List access may later need audit policy, but none is specified here.","Exposes root user personal data for all rows in list scope.","Must respect pagination, search-storage rules, visibility rules, and deterministic totals.","Yes","No","Yes","Yes","No","Yes","Yes","Imported from RootUser V2.3 workbook; not yet reconciled with newer repo docs.","v2.3 legacy import / draft","Paginate results with totals; apply prefix/date filters using AND; reject invalid page/pageSize/orderBy; include soft-deleted rows; exclude anonymized rows.","Create, delete, and remove rows then verify list scope and totals remain correct.","Validate bounded pagination and query validation; confirm unauthorized access is rejected once authz is formalized.","If list access becomes auditable, verify actor and query capture policy.","Totals capped at 10000+; empty result set; invalid sort field.","n/a","Done when general listing behavior, filters, totals, docs, and tests align with the approved contract."
"rootUsers","listActiveRootUsers","backend","Build","Draft imported from RootUser V2.3","Provide a paginated searchable list of active visible root users.","Operator can browse only active, non-deleted root users with pagination, filters, and totals.","Legacy workbook says this list excludes anonymized rows and fixes status to active and deletedAt to null.","Privileged internal operator; exact role model not specified in RootUser V2.3.","Not specified in RootUser V2.3.","Not specified in RootUser V2.3.","Not specified in RootUser V2.3.","Legacy workbook does not define authorization; assume this is a privileged internal capability.","No frontend behavior specified in RootUser V2.3.","Server must enforce any eventual privileged access rule before returning the list.","Not specified in RootUser V2.3; likely yes for operator-sensitive reads.","No","","","n/a","No session-specific client behavior specified.","No frontend permission behavior specified.","Yes","GET /v1/root-users/active","query: page?, pageSize?, orderBy?, orderDirection?, emailPrefix?, firstNamePrefix?, lastNamePrefix?, createdAtFrom?, createdAtTo?, updatedAtFrom?, updatedAtTo?.","200 paginated response with active visible items, page, pageSize, totalPages, totalSearchableRecords, totalMatchingRecords.","400 INVALID_REQUEST for invalid page, pageSize, or sorting fields.","Uses rootUsers active-list capability with pagination, filtering, and sort rules.","No cross-feature seams specified in RootUser V2.3.","Read paginated list from active non-deleted non-anonymized root_users scope and compute totals before/after filters.","No","B-tree on normalized email, normalized first name, normalized last name, createdAt, updatedAt, status.","Prefix search on email/firstName/lastName; date ranges on createdAt/updatedAt; status fixed to active; deletedAt fixed to null; AND-combined filters; exclude anonymized.","Auth/session dependency not specified in RootUser V2.3.","Legacy workbook treats this as a dedicated active-only list capability.","Not specified in RootUser V2.3; likely authenticated privileged operator.","Not specified in RootUser V2.3.","No browser security impact specified.","List access may later need audit policy, but none is specified here.","Exposes root user personal data for active visible rows.","Must respect pagination, search-storage rules, visibility rules, and deterministic totals.","Yes","No","Yes","Yes","No","Yes","Yes","Imported from RootUser V2.3 workbook; not yet reconciled with newer repo docs.","v2.3 legacy import / draft","Return only active non-deleted rows; exclude anonymized; apply filters; reject invalid query params; compute totals correctly.","Create active/inactive/deleted/anonymized rows then verify only active visible rows are listed.","Validate bounded pagination and query validation; confirm unauthorized access is rejected once authz is formalized.","If list access becomes auditable, verify actor and query capture policy.","Totals capped at 10000+; empty result set; invalid sort field.","n/a","Done when active-only listing behavior, filters, totals, docs, and tests align with the approved contract."
"rootUsers","updateRootUser","backend","Build","Draft imported from RootUser V2.3","Allow controlled mutation of editable root-user fields.","Operator can update a visible root user's editable details without changing immutable fields.","Legacy workbook says createdAt and rootUserId cannot change; deleted and anonymized rows are not updated; email remains normalized and unique.","Privileged internal operator; exact role model not specified in RootUser V2.3.","Not specified in RootUser V2.3.","Not specified in RootUser V2.3.","Not specified in RootUser V2.3.","Legacy workbook does not define authorization; assume this is a privileged internal capability.","No frontend behavior specified in RootUser V2.3.","Server must enforce any eventual privileged access rule before updating the row.","Not specified in RootUser V2.3; likely yes for operator-sensitive actions.","No","","","n/a","No session-specific client behavior specified.","No frontend permission behavior specified.","Yes","PATCH /v1/root-users/:rootUserId","params: { rootUserId: string }; body: { email?: string; firstName?: string; lastName?: string; status?: 'active' | 'inactive' }.","200 with updated root-user summary.","400 INVALID_REQUEST for invalid body or UUID; 404 ROOT_USER_NOT_FOUND when target is missing/deleted/anonymized; 409 ROOT_USER_EMAIL_ALREADY_EXISTS for duplicate active email.","Uses rootUsers update capability and persistence update path.","No cross-feature seams specified in RootUser V2.3.","Update allowed columns on one visible root_users row and refresh updatedAt.","No","Primary key B-tree on rootUserId; B-tree on normalized email for duplicate checks.","Mutation capability; target row selected by rootUserId; uniqueness check on normalized email among non-deleted rows.","Auth/session dependency not specified in RootUser V2.3.","Legacy workbook allows status updates but not immutable/system-managed fields.","Not specified in RootUser V2.3; likely authenticated privileged operator.","Not specified in RootUser V2.3.","No browser security impact specified.","Should likely capture actor and changed record, but not specified in RootUser V2.3.","May expose or change root user personal data.","Must respect validation, immutable fields, uniqueness, and updatedAt refresh rules.","Yes","No","Yes","Yes","No","Yes","Yes","Imported from RootUser V2.3 workbook; not yet reconciled with newer repo docs.","v2.3 legacy import / draft","Update allowed fields only; preserve createdAt and rootUserId; normalize email; enforce uniqueness; refresh updatedAt.","Create then update; verify deleted/anonymized rows cannot be updated through normal path.","Reject invalid UUID/body and unauthorized access once authz is formalized.","Verify update action is operator-visible if audit model exists.","No-op or empty update behavior; duplicate normalized email; deleted/anonymized target.","n/a","Done when update behavior, immutability rules, docs, and tests align with the approved contract."
"rootUsers","deleteRootUser","backend","Build","Draft imported from RootUser V2.3","Soft delete a root user while preserving durable history.","Operator can deactivate a root user without destroying the stored record.","Legacy workbook says delete sets deletedAt and updatedAt, changes status to inactive, and fails if already deleted or anonymized.","Privileged internal operator; exact role model not specified in RootUser V2.3.","Not specified in RootUser V2.3.","Not specified in RootUser V2.3.","Not specified in RootUser V2.3.","Legacy workbook does not define authorization; assume this is a privileged internal capability.","No frontend behavior specified in RootUser V2.3.","Server must enforce any eventual privileged access rule before deleting the row.","Not specified in RootUser V2.3; likely yes for operator-sensitive actions.","No","","","n/a","No session-specific client behavior specified.","No frontend permission behavior specified.","Yes","DELETE /v1/root-users/:rootUserId","params: { rootUserId: string }; body/query: none.","200 with soft-deleted root-user summary where status=inactive and deletedAt is set.","400 INVALID_REQUEST for invalid UUID; 404 ROOT_USER_NOT_FOUND when target is missing; 409 ROOT_USER_ALREADY_DELETED or ROOT_USER_ALREADY_ANONYMIZED when state blocks delete.","Uses rootUsers soft-delete capability.","No cross-feature seams specified in RootUser V2.3.","Update one row to set deletedAt, updatedAt, and inactive status while preserving durable history.","No","Primary key B-tree on rootUserId; uniqueness rules must continue to respect non-deleted rows.","Mutation capability; target row selected by rootUserId.","Auth/session dependency not specified in RootUser V2.3.","Legacy workbook treats soft delete as distinct from remove/anonymize.","Not specified in RootUser V2.3; likely authenticated privileged operator.","Not specified in RootUser V2.3.","No browser security impact specified.","Should likely capture actor and deleted record, but not specified in RootUser V2.3.","Retains personal data while changing lifecycle state.","Must respect soft-delete visibility, durable data retention, and deterministic errors.","Yes","No","Yes","Yes","No","Yes","Yes","Imported from RootUser V2.3 workbook; not yet reconciled with newer repo docs.","v2.3 legacy import / draft","Set deletedAt and updatedAt; change status to inactive; hide row from normal reads; reject already-deleted and anonymized rows.","Create then delete then verify hidden/explicit list behavior across other capabilities.","Reject invalid UUID and unauthorized access once authz is formalized.","Verify delete action is operator-visible if audit model exists.","Repeat delete; anonymized target; unknown target.","n/a","Done when soft-delete behavior, lifecycle visibility, docs, and tests align with the approved contract."
"rootUsers","removeRootUser","backend","Build","Draft imported from RootUser V2.3","Irreversibly anonymize a root user record while retaining a durable placeholder row.","Operator can remove identifying data from a root user record in a non-reversible way.","Legacy workbook says remove replaces identifying fields with random values, sets anonymized=true, sets deletedAt and inactive status, and may re-run on already anonymized users.","Privileged internal operator; exact role model not specified in RootUser V2.3.","Not specified in RootUser V2.3.","Not specified in RootUser V2.3.","Not specified in RootUser V2.3.","Legacy workbook does not define authorization; assume this is a privileged internal capability.","No frontend behavior specified in RootUser V2.3.","Server must enforce any eventual privileged access rule before anonymizing the row.","Not specified in RootUser V2.3; likely yes for operator-sensitive actions.","No","","","n/a","No session-specific client behavior specified.","No frontend permission behavior specified.","Yes","POST /v1/root-users/:rootUserId/remove","params: { rootUserId: string }; body/query: none.","200 with anonymized root-user summary where anonymized=true, status=inactive, and deletedAt is set.","400 INVALID_REQUEST for invalid UUID; 404 ROOT_USER_NOT_FOUND when target is missing.","Uses rootUsers remove/anonymize capability.","No cross-feature seams specified in RootUser V2.3.","Update one row to replace identifying fields with non-reversible random values, set anonymized=true, set deletedAt, and refresh updatedAt.","No","Primary key B-tree on rootUserId; anonymized email must remain unique; existing normalized email index still matters.","Mutation capability; target row selected by rootUserId; anonymization must generate unique replacement values.","Auth/session dependency not specified in RootUser V2.3.","Legacy workbook allows repeat remove on already anonymized rows and says anonymized values may be overwritten again.","Not specified in RootUser V2.3; likely authenticated privileged operator.","Not specified in RootUser V2.3.","No browser security impact specified.","Should likely capture actor and anonymized record, but not specified in RootUser V2.3.","Transforms but does not fully erase row-level personal data history semantics.","Must respect durable data rules, anonymization semantics, and deterministic errors.","Yes","No","Yes","Yes","No","Yes","Yes","Imported from RootUser V2.3 workbook; not yet reconciled with newer repo docs.","v2.3 legacy import / draft","Anonymize identifying fields; set anonymized=true; set deletedAt and inactive status; support repeated remove per legacy workbook; ensure anonymized email is unique.","Create then remove then confirm normal lookups exclude row and deleted listing behavior matches scope.","Reject invalid UUID and unauthorized access once authz is formalized.","Verify remove action is operator-visible if audit model exists.","Repeat remove; unknown target; generated anonymized value uniqueness.","n/a","Done when anonymization behavior, lifecycle rules, docs, and tests align with the approved contract."
"rootUsers","listDeletedRootUsers","backend","Build","Draft imported from RootUser V2.3","Provide a paginated searchable list of soft-deleted root users.","Operator can browse deleted root users, optionally excluding anonymized ones, with pagination, filters, and totals.","Legacy workbook says deleted list includes anonymized and non-anonymized rows by default and supports excludeAnonymized=true.","Privileged internal operator; exact role model not specified in RootUser V2.3.","Not specified in RootUser V2.3.","Not specified in RootUser V2.3.","Not specified in RootUser V2.3.","Legacy workbook does not define authorization; assume this is a privileged internal capability.","No frontend behavior specified in RootUser V2.3.","Server must enforce any eventual privileged access rule before returning the list.","Not specified in RootUser V2.3; likely yes for operator-sensitive reads.","No","","","n/a","No session-specific client behavior specified.","No frontend permission behavior specified.","Yes","GET /v1/root-users/deleted","query: page?, pageSize?, orderBy?, orderDirection?, emailPrefix?, firstNamePrefix?, lastNamePrefix?, createdAtFrom?, createdAtTo?, updatedAtFrom?, updatedAtTo?, deletedAtFrom?, deletedAtTo?, excludeAnonymized?.","200 paginated response with deleted items, page, pageSize, totalPages, totalSearchableRecords, totalMatchingRecords.","400 INVALID_REQUEST for invalid page, pageSize, or sorting fields.","Uses rootUsers deleted-list capability with pagination, filtering, and sort rules.","No cross-feature seams specified in RootUser V2.3.","Read paginated list from deleted root_users scope and compute totals before/after filters.","No","B-tree on normalized email, normalized first name, normalized last name, createdAt, updatedAt, deletedAt, anonymized.","Prefix search on email/firstName/lastName; date ranges on createdAt/updatedAt/deletedAt; eq on anonymized via excludeAnonymized; AND-combined filters; only deleted rows are in scope.","Auth/session dependency not specified in RootUser V2.3.","Legacy workbook treats excludeAnonymized as part of the deleted-list scope and totals.","Not specified in RootUser V2.3; likely authenticated privileged operator.","Not specified in RootUser V2.3.","No browser security impact specified.","List access may later need audit policy, but none is specified here.","Exposes deleted-row personal data unless excludeAnonymized removes anonymized rows only.","Must respect deleted-only visibility, pagination, search-storage rules, and deterministic totals.","Yes","No","Yes","Yes","No","Yes","Yes","Imported from RootUser V2.3 workbook; not yet reconciled with newer repo docs.","v2.3 legacy import / draft","Return only soft-deleted rows; include anonymized rows by default; exclude them when requested; paginate and filter correctly.","Delete and remove rows then verify deleted listing scope, excludeAnonymized behavior, and totals.","Validate bounded pagination and query validation; confirm unauthorized access is rejected once authz is formalized.","If list access becomes auditable, verify actor and query capture policy.","Totals capped at 10000+; empty result set; invalid sort field; excludeAnonymized=true.","n/a","Done when deleted-list behavior, filters, totals, docs, and tests align with the approved contract."
"rootUsers","reActivateRootUser","backend","Build","Draft imported from RootUser V2.3","Restore an eligible soft-deleted root user to active visible state.","Operator can reactivate a deleted non-anonymized root user when the email does not conflict.","Legacy workbook says reactivation clears deletedAt, sets status to active, refreshes updatedAt, rejects anonymized rows, and re-checks non-deleted email uniqueness.","Privileged internal operator; exact role model not specified in RootUser V2.3.","Not specified in RootUser V2.3.","Not specified in RootUser V2.3.","Not specified in RootUser V2.3.","Legacy workbook does not define authorization; assume this is a privileged internal capability.","No frontend behavior specified in RootUser V2.3.","Server must enforce any eventual privileged access rule before reactivating the row.","Not specified in RootUser V2.3; likely yes for operator-sensitive actions.","No","","","n/a","No session-specific client behavior specified.","No frontend permission behavior specified.","Yes","POST /v1/root-users/:rootUserId/reactivate","params: { rootUserId: string }; body/query: none.","200 with active visible root-user summary where deletedAt=null.","400 INVALID_REQUEST for invalid UUID; 404 ROOT_USER_NOT_FOUND when deleted target is missing; 409 ROOT_USER_NOT_DELETED, ROOT_USER_ALREADY_ANONYMIZED, or ROOT_USER_EMAIL_ALREADY_EXISTS when state blocks reactivation.","Uses rootUsers reactivate capability.","No cross-feature seams specified in RootUser V2.3.","Update one deleted non-anonymized row to clear deletedAt, set active status, and refresh updatedAt.","No","Primary key B-tree on rootUserId; B-tree on normalized email for duplicate checks among non-deleted rows.","Mutation capability; target row selected by rootUserId; reactivation re-checks normalized email uniqueness among non-deleted rows.","Auth/session dependency not specified in RootUser V2.3.","Legacy workbook treats reactivation as the inverse of soft delete for eligible rows only.","Not specified in RootUser V2.3; likely authenticated privileged operator.","Not specified in RootUser V2.3.","No browser security impact specified.","Should likely capture actor and reactivated record, but not specified in RootUser V2.3.","Restores access to stored personal data already retained on the row.","Must respect lifecycle state, uniqueness, and deterministic errors.","Yes","No","Yes","Yes","No","Yes","Yes","Imported from RootUser V2.3 workbook; not yet reconciled with newer repo docs.","v2.3 legacy import / draft","Reactivate a soft-deleted non-anonymized user; clear deletedAt; set active status; reject visible/anonymized/conflicting rows.","Create then delete then reactivate; verify row returns to visible list and normal lookups.","Reject invalid UUID and unauthorized access once authz is formalized.","Verify reactivation action is operator-visible if audit model exists.","Visible row passed to reactivate; anonymized row; duplicate normalized email on restore.","n/a","Done when reactivation behavior, lifecycle constraints, docs, and tests align with the approved contract."
