Capability role,Capability area,Capability definition key,Family,Operation,Capability type,Phase,Status,Business goal,User outcome,Primary actor,Capability boundary,Tenant context rule,Authorization posture,Implementation seam,Source baseline,Complementary governance additions,Frontend/page impact,Persistence impact,Validation gates,Compatibility notes,Artifact/test expectations,Acceptance notes
generated_feature_capability_template,managed records,managed_record_list,read_discovery,list,backend,governed entity creation,first draft,Define the standard list capability expected for records managed by a generated or planned entity.,A generated management surface can list records using stable pagination lifecycle visibility boundary filtering and search hooks.,Entity maintainer or owning feature actor,tenant or root depending on owning entity,Exactly one current tenant context is required for tenant-scoped entities; root-only entities remain root context.,Runtime authz capability required; collection views do not grant access.,feature_seam,Schema formalization baseline managed-record capability catalog,Collection views may constrain which statuses/sub-statuses are shown by default; staged page visibility controls exposure only.,Required when generated page includes a record list.,Owning feature persistence or generated implementation plan must define list read model indexes and visibility rules.,Page readiness validation must prove list shape default sort lifecycle visibility and boundary filtering are defined.,Must preserve pagination defaults and soft-delete exclusion rules unless explicit compatibility strategy exists.,PRD capability matrix API contract tests and security coverage required before implementation.,Acceptable when generated/planned entity records can be listed without inventing page-local visibility or filter behavior.
generated_feature_capability_template,managed records,managed_record_search,read_discovery,search,backend,governed entity creation,first draft,Define searchable/filterable record behavior for managed entity collections.,Users can find or filter records using approved search operators and indexes.,Entity maintainer or owning feature actor,tenant or root depending on owning entity,Search must evaluate in the same current tenant/root context as the list/read capability.,Runtime authz capability required plus search/index posture approval.,feature_seam plus approved search/platform seam,Schema formalization baseline managed-record capability catalog,Starter defaults and collection views may recommend filters but search remains explicit in searchModel.,Filter bar generation depends on approved searchModel generated filters.,Owning feature must define scalar/junction/index strategy for searchable fields.,Activation blocks generated filters when storage/index/operator posture is missing.,Must not introduce comma-separated multi-value searchable fields or unindexed scale-sensitive filters.,Search/filter unit integration security and performance-sensitive tests expected.,Acceptable when search behavior is explicit and cannot be inferred from arbitrary fields.
generated_feature_capability_template,managed records,managed_record_read,read_discovery,read,backend,governed entity creation,first draft,Define exact record read behavior for managed entity records.,Users can open a selected record and see permitted details in a generated drawer/page.,Entity maintainer or owning feature actor,tenant or root depending on owning entity,Read must evaluate object/entity boundary in exactly one current context.,Runtime authz and object-level checks required.,feature_seam,Schema formalization baseline managed-record capability catalog,Collection-view eligibility and staged page exposure never grant record read.,Required for generated selected-record drawer or detail surface.,Owning feature persistence must define exact read and soft-delete visibility behavior.,Activation blocks generated drawer when display identity/read shape is missing.,Exact read must preserve lifecycle visibility and not expose deleted rows through normal read.,Read integration security and frontend scenario tests expected when UI exists.,Acceptable when selected-record rendering consumes authorized read results only.
generated_feature_capability_template,managed records,managed_record_create,authoring,create,backend or vertical slice,governed entity creation,first draft,Define create behavior for records managed by an entity.,Authorized users can create valid records through generated or planned flows.,Entity maintainer or owning feature actor,tenant or root depending on owning entity,Create occurs in the owning entity context; tenant context must not come from mutable body fields.,Runtime authz capability required.,feature_seam,Schema formalization baseline managed-record capability catalog,Starter defaults may draft create action placement; action availability still follows authz/actionModel.,Generated primary action may show create only when actionModel and authz allow it.,Owning feature persistence must generate IDs timestamps and reject system-managed fields.,Activation requires create contract if generated page exposes create.,Must follow normalization validation uniqueness and system-managed field defaults.,Unit integration security audit and edge tests required before implementation.,Acceptable when create is explicit in actionModel and generated UI cannot expose unauthorized create.
generated_feature_capability_template,managed records,managed_record_update,authoring,update,backend or vertical slice,governed entity creation,first draft,Define update behavior for mutable record fields.,Authorized users can edit allowed fields without changing system-managed lifecycle data.,Entity maintainer or owning feature actor,tenant or root depending on owning entity,Update occurs in one current context and must not mutate soft-deleted rows through normal update.,Runtime authz capability required plus field/action state checks.,feature_seam,Schema formalization baseline managed-record capability catalog,Role needs may identify edit needs; runtime grants remain separate.,Generated drawer edit action depends on mutability placement actionModel and authz.,Owning feature persistence must refresh updatedAt and enforce immutable/system-managed fields.,Activation requires update contract if generated page exposes edit.,Active historical facts must not become live lookups when durable truth is required.,Unit integration security audit and frontend tests expected when edit UI exists.,Acceptable when update scope is explicit and generated edit controls are gated by all required checks.
generated_feature_capability_template,managed records,managed_record_archive,lifecycle,archive,backend or vertical slice,governed entity creation,first draft,Define archive behavior for managed records.,Authorized users can remove records from normal active management without hard deletion.,Entity maintainer or owning feature actor,tenant or root depending on owning entity,Archive evaluates in owning entity context and relationship lifecycle impacts.,Runtime authz lifecycle capability required.,feature_seam,Schema formalization baseline managed-record capability catalog,Collection views should model whether archived records appear outside normal default views.,Generated lifecycle actions require actionModel mapping and confirmation posture.,Owning feature persistence must represent lifecycle/archive state and indexes.,Activation requires lifecycle/status consistency when archive is exposed.,Normal list/read should exclude archived where contract says active-only; compatibility notes needed for visible archive views.,Lifecycle unit integration audit and edge tests required.,Acceptable when archive behavior is explicit and cannot be confused with delete.
generated_feature_capability_template,managed records,managed_record_restore,lifecycle,restore,backend or vertical slice,governed entity creation,first draft,Define restore behavior for archived or restorable records.,Authorized users can return eligible records to active management safely.,Entity maintainer or owning feature actor,tenant or root depending on owning entity,Restore must re-check uniqueness boundaries parent status and lifecycle constraints.,Runtime authz lifecycle capability required.,feature_seam,Schema formalization baseline managed-record capability catalog,Support or admin views may surface restore where eligible.,Generated restore actions require actionModel and lifecycle eligibility.,Owning feature persistence must refresh audit/timestamps and restore visibility.,Activation requires restore contract if exposed.,Restoring must not violate active uniqueness or relationship boundary constraints.,Lifecycle unit integration security audit and edge tests required.,Acceptable when restore is explicit and validates current constraints before mutation.
generated_feature_capability_template,managed records,managed_record_delete,lifecycle,delete,backend or vertical slice,governed entity creation,first draft,Define soft delete or pending deletion behavior for managed records.,Authorized users can delete records only through approved lifecycle semantics.,Entity maintainer or owning feature actor,tenant or root depending on owning entity,Delete evaluates ownership context relationship lifecycle cleanup and retention rules.,Runtime authz lifecycle capability required.,feature_seam plus scheduler/cleanup seam when needed,Schema formalization baseline managed-record capability catalog,Default views should not include deleted/pending-cleanup states unless explicitly support/ops modeled.,Generated destructive actions require actionModel error catalog confirmation and audit posture.,Owning feature persistence must set deletedAt/update timestamps or pending deletion state.,Activation blocks delete exposure without cleanup/retention model.,Hard-delete/purge requires separate approval; normal reads exclude deleted rows.,Lifecycle cleanup audit security and edge tests required.,Acceptable when delete semantics cleanup ownership and visibility are explicit.
generated_feature_capability_template,managed records,managed_record_purge,retention_cleanup,purge,backend,governed entity creation,first draft,Define hard-delete/purge behavior where legally and operationally approved.,Authorized operators can purge only eligible records after retention/legal checks.,Support or authorized operator,root or support depending on owning entity,Must evaluate legal hold retention export and tenant/customer boundary before purge.,Runtime authz plus manual/support approval likely required.,feature_seam plus manual_operational_seam,Schema formalization baseline managed-record capability catalog,Support-only pages may expose purge only when explicitly approved; starter defaults do not include purge.,No normal generated customer page should expose purge by default.,Persistence must define hard-delete eligibility and audit evidence.,Activation blocks purge unless compliance cleanup and runbook posture exist.,Breaking/high-risk by default; requires explicit compatibility and retention strategy.,Security audit runbook compliance and edge tests required.,Acceptable only when purge is intentionally approved with evidence and rollback/retention posture.
generated_feature_capability_template,managed records,managed_record_export,import_export,export,backend or vertical slice,governed entity creation,first draft,Define export behavior for individual or scoped managed records.,Authorized users can export approved record data with privacy and audit controls.,Entity maintainer or authorized business/support actor,tenant or root depending on owning entity,Export must evaluate current context and approved field/privacy posture.,Runtime authz export capability required.,feature_seam plus asset/job seam when file-backed,Schema formalization baseline managed-record capability catalog,Role discovery may identify export need; staged page visibility does not grant export.,Generated export action appears only with actionModel authz and compliance approval.,Persistence/job/asset posture depends on sync vs async/file-backed export.,Activation blocks export action without privacy retention and audit posture.,Customer-shareable files require asset/scanning/retention decisions before production.,Integration security audit privacy and asset/job tests required where applicable.,Acceptable when export fields scope and delivery are approved and auditable.
