Feature,Capability,Capability type (backend - frontend - vertical slice),Phase,Status,Business goal,User outcome,Notes / constraints,Primary actor,Allowed root roles,Minimum role required,Explicitly denied roles,Authorization summary,Governing authz capability,Authz scope type,Granted role / boundary,Mandatory grant?,Protected grant?,Frontend visibility rule,Backend enforcement rule,Audit actor role required?,Frontend required?,Frontend route,Frontend surface,Frontend states,Session / expiry behavior,Client-side permission behavior,API required?,Route(s),Request contract,Response contract,Error contract,Feature seam(s),Cross-feature seams,Persistence impact,Migration required?,Indexes / uniqueness,Search / filter model,Session / auth dependency,Compatibility / migration notes,Authentication requirement,Authorization enforcement layer,CSP / browser security impact,Audit requirement,Privacy / personal data impact,Standards impact,PRD required?,ADR required?,Test-case doc required?,Feature docs update required?,Runbook required?,Standards review required?,Repo health review required?,Traceability status,Lifecycle version/status,Unit tests,Integration tests,Security tests,Audit tests,Edge tests,Frontend tests,Acceptance notes
rootRoles,createSystemRootRole,backend,proposed,draft,Create a new protected system root role with a stable machine key plus editable display name and description.,A root operator can add a new reusable root role without editing code directly.,"Clients may supply roleKey, displayName, and description only. RoleKey must be stable and unique. RootUserAdmin remains protected from day one.",RootUserAdmin,RootUserAdmin,RootUserAdmin,,Protected root-role administration capability restricted to RootUserAdmin.,root-role.create,global root operator scope,RootUserAdmin,Yes,Yes,No tenant-facing surface. Future root-admin UI may expose this only to RootUserAdmin.,Enforce through central authorization seam using governing authz capability before feature service execution.,Yes,No,,,,,,Yes,POST /v1/root-roles,"Body includes roleKey, displayName, description, optional active flag defaulting to active. System-managed ids and audit fields are rejected.","Returns created system root role with identifiers, lifecycle state, timestamps, and protected/mandatory metadata.",400 invalid payload; 401 unauthenticated; 403 missing root-role.create; 409 normalized roleKey already exists; 422 protected-role rule violation.,,,Create durable system root role record.,Yes,Unique normalized active roleKey; durable primary key.,N/A,Depends on current rootAuth protected session flow.,Backward-compatible additive feature. Seed RootUserAdmin via bootstrap/migration path rather than manual API creation.,Authenticated root session required.,Central authorization seam at route/service boundary.,,"Audit all successful mutations and any denied attempts with actor, target role/rootUser, before/after, timestamp, and reason where supplied.",Low; role metadata only.,OWASP ASVS authorization and audit controls; platform-status snapshots should be reviewed when implemented.,Yes,No,Yes,Yes,No,Yes,Yes,initial draft,v1 draft,Yes,Yes,Yes,Yes,Yes,No,Role creation must not allow duplicate normalized role keys or creation of malformed protected-role metadata.
rootRoles,getSystemRootRole,backend,proposed,draft,"Read one system root role, including metadata and assigned capability summary.",A root operator can inspect a role before editing it.,"Should include stable roleKey, displayName, description, active/deleted status, assignable status, protected flags, and assigned capability summary.",RootUserAdmin,RootUserAdmin,RootUserAdmin,,Protected root-role administration capability restricted to RootUserAdmin.,root-role.read,global root operator scope,RootUserAdmin,No,Yes,No tenant-facing surface. Future root-admin UI may expose this only to RootUserAdmin.,Enforce through central authorization seam using governing authz capability before feature service execution.,Yes,No,,,,,,Yes,GET /v1/root-roles/:rootRoleId,Exact rootRoleId route param required.,Returns one role plus assigned capability summary and lifecycle fields.,400 invalid id; 401 unauthenticated; 403 missing root-role.read; 404 role not found.,,,Read existing system root role and linked capability grants.,Yes,Lookup by primary key; normalized roleKey index supports secondary reads.,N/A,Depends on current rootAuth protected session flow.,Should preserve ability to expose protected-role metadata consistently in future UI/API consumers.,Authenticated root session required.,Central authorization seam at route/service boundary.,,"Audit all successful mutations and any denied attempts with actor, target role/rootUser, before/after, timestamp, and reason where supplied.",Low; role metadata only.,OWASP ASVS authorization and audit controls; platform-status snapshots should be reviewed when implemented.,Yes,No,Yes,Yes,No,Yes,Yes,initial draft,v1 draft,Yes,Yes,Yes,Yes,Yes,No,Response should clearly distinguish protected/mandatory grants from editable grants.
rootRoles,listSystemRootRoles,backend,proposed,draft,"List system root roles with descriptions, lifecycle state, and capability summary.",A root operator can browse and select a role to inspect or edit.,"Use standard list defaults: page=1, pageSize=25, pageSize max=100, default order desc. Exclude deleted rows by default unless explicit includeDeleted filter is later approved. Roles should expose whether they are assignable.",RootUserAdmin,RootUserAdmin,RootUserAdmin,,Protected root-role administration capability restricted to RootUserAdmin.,root-role.list,global root operator scope,RootUserAdmin,No,Yes,No tenant-facing surface. Future root-admin UI may expose this only to RootUserAdmin.,Enforce through central authorization seam using governing authz capability before feature service execution.,Yes,No,,,,,,Yes,GET /v1/root-roles,Supports standard pagination plus optional filters for active/protected and search by normalized roleKey/displayName if approved.,Returns paginated list shape with items and metadata.,400 invalid paging/filter input; 401 unauthenticated; 403 missing root-role.list.,,,Read paginated role list.,Yes,Indexes should support normalized roleKey/displayName list filters if enabled.,Paginated list with optional active/protected filters; no deleted rows by default.,Depends on current rootAuth protected session flow.,Follow current repo list conventions for consistent rebuild-from-spec behavior.,Authenticated root session required.,Central authorization seam at route/service boundary.,,"Audit all successful mutations and any denied attempts with actor, target role/rootUser, before/after, timestamp, and reason where supplied.",Low; role metadata only.,OWASP ASVS authorization and audit controls; platform-status snapshots should be reviewed when implemented.,Yes,No,Yes,Yes,No,Yes,Yes,initial draft,v1 draft,Yes,Yes,Yes,Yes,Yes,No,List behavior should match current shared pagination defaults and exclude deleted roles by default.
rootRoles,updateSystemRootRole,backend,proposed,draft,Update editable system root role metadata without changing the stable machine key.,A root operator can refine how a role is presented and described over time.,Editable fields are displayName and description. roleKey remains immutable after creation. Protected roles can still have presentation metadata updated unless later restricted.,RootUserAdmin,RootUserAdmin,RootUserAdmin,,Protected root-role administration capability restricted to RootUserAdmin.,root-role.update,global root operator scope,RootUserAdmin,Yes,Yes,No tenant-facing surface. Future root-admin UI may expose this only to RootUserAdmin.,Enforce through central authorization seam using governing authz capability before feature service execution.,Yes,No,,,,,,Yes,PATCH /v1/root-roles/:rootRoleId,Exact rootRoleId required; body permits displayName and description only.,Returns updated role with refreshed updatedAt.,400 invalid payload; 401 unauthenticated; 403 missing root-role.update; 404 role not found; 409 normalized display conflict if such uniqueness is later adopted.,,,Update durable role metadata and updatedAt.,Yes,Unique roleKey remains unchanged; no client override of lifecycle/system fields.,N/A,Depends on current rootAuth protected session flow.,Preserve stable role identity so assignments and audit history remain durable.,Authenticated root session required.,Central authorization seam at route/service boundary.,,"Audit all successful mutations and any denied attempts with actor, target role/rootUser, before/after, timestamp, and reason where supplied.",Low; role metadata only.,OWASP ASVS authorization and audit controls; platform-status snapshots should be reviewed when implemented.,Yes,No,Yes,Yes,No,Yes,Yes,initial draft,v1 draft,Yes,Yes,Yes,Yes,Yes,No,Updates must not allow roleKey mutation or silent lifecycle changes.
rootRoles,deleteSystemRootRole,backend,proposed,draft,Deactivate a system root role so it can no longer be newly assigned while preserving history and existing assignments.,A root operator can retire a role from future use without losing historical correctness.,"Soft delete/deactivate only. Do not hard delete. Protected roles such as RootUserAdmin cannot be deactivated if platform safety rules would be violated. Existing assignments may remain for history or controlled transition, but new assignments must be blocked once the role is inactive.",RootUserAdmin,RootUserAdmin,RootUserAdmin,,Protected root-role administration capability restricted to RootUserAdmin.,root-role.delete,global root operator scope,RootUserAdmin,Yes,Yes,No tenant-facing surface. Future root-admin UI may expose this only to RootUserAdmin.,Enforce through central authorization seam using governing authz capability before feature service execution.,Yes,No,,,,,,Yes,POST /v1/root-roles/:rootRoleId/deactivate,Exact rootRoleId required; optional reason/comment may be captured for audit.,Returns deactivated role with deletedAt/updatedAt and lifecycle state showing it is no longer assignable.,400 invalid request; 401 unauthenticated; 403 missing root-role.delete; 404 role not found; 409 protected-role or platform safety violation.,,,Set deletedAt and updatedAt on role; preserve grants and historical/current assignment records durably.,Yes,Active uniqueness on normalized roleKey should allow future reactivation but prevent duplicate active keys.,Deleted roles excluded from normal lists and from assignable-role pickers by default.,Depends on current rootAuth protected session flow.,Soft deletion chosen to preserve rebuild/compliance history while preventing future assignment of retired roles.,Authenticated root session required.,Central authorization seam at route/service boundary.,,"Audit all successful mutations and any denied attempts with actor, target role/rootUser, before/after, timestamp, and reason where supplied.",Low; role metadata only.,OWASP ASVS authorization and audit controls; platform-status snapshots should be reviewed when implemented.,Yes,No,Yes,Yes,No,Yes,Yes,initial draft,v1 draft,Yes,Yes,Yes,Yes,Yes,No,"System must block deactivation when it would leave no RootUserAdmin assigned or break protected platform safety rules, but should not require all existing assignments to be removed first."
rootRoles,reactivateSystemRootRole,backend,proposed,draft,Restore a previously deactivated system root role.,A root operator can bring back a retired role without recreating it or losing history.,Only valid for previously deactivated roles. Reactivation must respect unique active roleKey constraints.,RootUserAdmin,RootUserAdmin,RootUserAdmin,,Protected root-role administration capability restricted to RootUserAdmin.,root-role.reactivate,global root operator scope,RootUserAdmin,Yes,Yes,No tenant-facing surface. Future root-admin UI may expose this only to RootUserAdmin.,Enforce through central authorization seam using governing authz capability before feature service execution.,Yes,No,,,,,,Yes,POST /v1/root-roles/:rootRoleId/reactivate,Exact rootRoleId required.,Returns reactivated role with cleared deletedAt and refreshed updatedAt.,400 invalid request; 401 unauthenticated; 403 missing root-role.reactivate; 404 role not found; 409 role already active or active-key conflict.,,,Clear deletedAt and refresh updatedAt.,Yes,Must respect unique active normalized roleKey index on reactivation.,N/A,Depends on current rootAuth protected session flow.,First-class capability because delete semantics are deactivate-only.,Authenticated root session required.,Central authorization seam at route/service boundary.,,"Audit all successful mutations and any denied attempts with actor, target role/rootUser, before/after, timestamp, and reason where supplied.",Low; role metadata only.,OWASP ASVS authorization and audit controls; platform-status snapshots should be reviewed when implemented.,Yes,No,Yes,Yes,No,Yes,Yes,initial draft,v1 draft,Yes,Yes,Yes,Yes,Yes,No,Reactivation should restore the prior durable role identity and make the role assignable again without creating a new record.
rootRoles,listSystemRootRoleEligibleAuthzCapabilities,backend,proposed,draft,List the current eligible root authz capabilities that may be assigned to a system root role.,A root operator can see the capability catalog when editing a role.,This is the authoritative catalog-backed list for root-role editing. Non-assigned capabilities can be derived by comparing this result with assigned grants.,RootUserAdmin,RootUserAdmin,RootUserAdmin,,Protected root-role administration capability restricted to RootUserAdmin.,root-role.capability-catalog.read,global root operator scope,RootUserAdmin,No,Yes,No tenant-facing surface. Future root-admin UI may expose this only to RootUserAdmin.,Enforce through central authorization seam using governing authz capability before feature service execution.,Yes,No,,,,,,Yes,GET /v1/root-roles/:rootRoleId/eligible-authz-capabilities,Exact rootRoleId required; standard pagination/filtering may apply if capability catalog grows.,"Returns paginated eligible capability list with key, description, protected flag, mandatory-for-role indicator if applicable, and lifecycle status.",400 invalid request; 401 unauthenticated; 403 missing root-role.capability-catalog.read; 404 role not found.,,,Read from durable/root capability catalog plus role context.,Yes,Capability catalog keyed by unique capability key.,Paginated list with optional filters for protected/mandatory/active capability states.,Depends on current rootAuth protected session flow.,Capability catalog route uses explicit authz naming to avoid confusion with unrelated eligible lists elsewhere in the platform.,Authenticated root session required.,Central authorization seam at route/service boundary.,,"Audit all successful mutations and any denied attempts with actor, target role/rootUser, before/after, timestamp, and reason where supplied.",Low; capability metadata only.,OWASP ASVS authorization and audit controls; platform-status snapshots should be reviewed when implemented.,Yes,No,Yes,Yes,No,Yes,Yes,initial draft,v1 draft,Yes,Yes,Yes,Yes,Yes,No,Catalog must include enough metadata to explain what each capability does and whether it is mandatory for the selected role.
rootRoles,listSystemRootRoleCapabilityAssignments,backend,proposed,draft,List which authz capabilities are currently assigned to a system root role.,A root operator can review the role’s current grants before changing them.,Should distinguish protected and mandatory grants from optional grants and include grant source metadata where relevant.,RootUserAdmin,RootUserAdmin,RootUserAdmin,,Protected root-role administration capability restricted to RootUserAdmin.,root-role.capability-assignment.read,global root operator scope,RootUserAdmin,No,Yes,No tenant-facing surface. Future root-admin UI may expose this only to RootUserAdmin.,Enforce through central authorization seam using governing authz capability before feature service execution.,Yes,No,,,,,,Yes,GET /v1/root-roles/:rootRoleId/capability-assignments,Exact rootRoleId required; standard pagination/filtering may apply if grant count grows.,Returns assigned capability grants with capability metadata and protected/mandatory indicators.,400 invalid request; 401 unauthenticated; 403 missing root-role.capability-assignment.read; 404 role not found.,,,Read durable role-to-capability assignment records.,Yes,Unique active assignment per role/capability pair.,Paginated list with optional protected/mandatory filters.,Depends on current rootAuth protected session flow.,Assigned/non-assigned split should be derivable consistently from the eligible catalog plus assignment records.,Authenticated root session required.,Central authorization seam at route/service boundary.,,"Audit all successful mutations and any denied attempts with actor, target role/rootUser, before/after, timestamp, and reason where supplied.",Low; grant metadata only.,OWASP ASVS authorization and audit controls; platform-status snapshots should be reviewed when implemented.,Yes,No,Yes,Yes,No,Yes,Yes,initial draft,v1 draft,Yes,Yes,Yes,Yes,Yes,No,Returned assignments must make it obvious which grants cannot be removed.
rootRoles,updateSystemRootRoleCapabilityGrants,backend,proposed,draft,Change the capability grants assigned to a system root role.,A root operator can bulk-manage a role’s grants and later support drag-and-drop UI workflows.,Bulk set/replace is the priority model; future incremental add/remove routes may be added without replacing this capability. Mandatory/protected grants cannot be removed.,RootUserAdmin,RootUserAdmin,RootUserAdmin,,Protected root-role administration capability restricted to RootUserAdmin.,root-role.capability-assignment.update,global root operator scope,RootUserAdmin,Yes,Yes,No tenant-facing surface. Future root-admin UI may expose this only to RootUserAdmin.,Enforce through central authorization seam using governing authz capability before feature service execution.,Yes,No,,,,,,Yes,PUT /v1/root-roles/:rootRoleId/capability-assignments,Exact rootRoleId required; body contains desired capability key set plus optional reason/comment. System validates keys against eligible root capability catalog.,Returns updated assigned capability set plus protected/mandatory markers.,400 invalid payload; 401 unauthenticated; 403 missing root-role.capability-assignment.update; 404 role not found; 409 attempted removal of mandatory/protected grant or invalid catalog transition.,,,Upsert/delete role-to-capability assignment records and audit before/after grant sets.,Yes,Unique active assignment per role/capability pair; indexes support role grant reads.,N/A,Depends on current rootAuth protected session flow.,Bulk-first contract chosen so future UI can submit the full selected set deterministically.,Authenticated root session required.,Central authorization seam at route/service boundary.,,"Audit all successful mutations and any denied attempts with actor, target role/rootUser, before/after, timestamp, and reason where supplied.",Low; authorization metadata only.,OWASP ASVS authorization and audit controls; platform-status snapshots should be reviewed when implemented.,Yes,No,Yes,Yes,No,Yes,Yes,initial draft,v1 draft,Yes,Yes,Yes,Yes,Yes,No,Server must reject any update that would strip required RootUserAdmin grants or leave the role without its protected identity.
rootRoles,assignSystemRootRoleToRootUser,backend,proposed,draft,Assign a system root role to a root user.,A root operator can grant additional root capabilities to another operator.,A root user may hold multiple roles. Assignments take effect immediately. Inactive/deactivated roles cannot be newly assigned.,RootUserAdmin,RootUserAdmin,RootUserAdmin,,Protected root-role administration capability restricted to RootUserAdmin.,root-role.assignment.assign,global root operator scope,RootUserAdmin,Yes,Yes,No tenant-facing surface. Future root-admin UI may expose this only to RootUserAdmin.,Enforce through central authorization seam using governing authz capability before feature service execution.,Yes,No,,,,,,Yes,POST /v1/root-users/:rootUserId/root-role-assignments,Exact rootUserId required; body includes rootRoleId plus optional reason/comment. Bulk assignment is not needed here because the operation is one assignment at a time.,Returns created assignment record and refreshed effective permission summary for the target root user or enough identifiers to fetch it.,400 invalid request; 401 unauthenticated; 403 missing root-role.assignment.assign; 404 root user or role not found; 409 assignment already exists or role inactive.,,rootUsers public read seam for target root user existence and lifecycle checks.,Create durable root-user-to-role assignment record.,Yes,Unique active assignment per rootUser/role pair.,N/A,Depends on current rootAuth protected session flow and rootUsers feature seam.,Cross-feature read/write must use rootUsers public seam rather than direct persistence imports.,Authenticated root session required.,Central authorization seam at route/service boundary.,,"Audit all successful mutations and any denied attempts with actor, target role/rootUser, before/after, timestamp, and reason where supplied.",Moderate; ties authorization state to an identifiable operator account.,OWASP ASVS authorization and audit controls; platform-status snapshots should be reviewed when implemented.,Yes,No,Yes,Yes,No,Yes,Yes,initial draft,v1 draft,Yes,Yes,Yes,Yes,Yes,No,Assignment must not target deleted/ineligible root users and must reject inactive roles.
rootRoles,unassignSystemRootRoleFromRootUser,backend,proposed,draft,Remove a system root role from a root user while preserving safety constraints and audit history.,A root operator can reduce or revoke another operator’s access safely.,Must not leave a root user with zero roles. Must not leave the platform with zero RootUserAdmin assignments. Multiple roles remain supported.,RootUserAdmin,RootUserAdmin,RootUserAdmin,,Protected root-role administration capability restricted to RootUserAdmin.,root-role.assignment.unassign,global root operator scope,RootUserAdmin,Yes,Yes,No tenant-facing surface. Future root-admin UI may expose this only to RootUserAdmin.,Enforce through central authorization seam using governing authz capability before feature service execution.,Yes,No,,,,,,Yes,POST /v1/root-users/:rootUserId/root-role-assignments/:rootRoleAssignmentId/unassign,Exact rootUserId and rootRoleAssignmentId required; optional reason/comment may be captured in the request body.,Returns deactivated assignment record and refreshed effective permission summary for the target root user or enough identifiers to fetch it.,400 invalid request; 401 unauthenticated; 403 missing root-role.assignment.unassign; 404 assignment not found; 409 would leave target root user with zero roles or platform with no RootUserAdmin assignment.,,rootUsers public read seam for target root user lifecycle and existence checks.,Soft delete/deactivate assignment record so historical assignment state remains durable and auditable.,Yes,Active uniqueness per rootUser/role pair; assignment lifecycle fields needed for history and re-assignment after deactivation.,N/A,Depends on current rootAuth protected session flow and rootUsers feature seam.,Safety rules are part of the durable contract and should not be left to UI-only enforcement.,Authenticated root session required.,Central authorization seam at route/service boundary.,,"Audit all successful mutations and any denied attempts with actor, target role/rootUser, before/after, timestamp, and reason where supplied.",Moderate; ties authorization state to an identifiable operator account.,OWASP ASVS authorization and audit controls; platform-status snapshots should be reviewed when implemented.,Yes,No,Yes,Yes,No,Yes,Yes,initial draft,v1 draft,Yes,Yes,Yes,Yes,Yes,No,Server must block any unassignment that violates minimum-role or last-RootUserAdmin safety rules.
rootRoles,listRootUserAssignedSystemRootRoles,backend,proposed,draft,List the system root roles currently assigned to a root user.,A root operator can inspect role membership for a given root user before changing it.,Standard list rules apply. Include role metadata and assignment lifecycle summary.,RootUserAdmin,RootUserAdmin,RootUserAdmin,,Protected root-role administration capability restricted to RootUserAdmin.,root-role.assignment.list,global root operator scope,RootUserAdmin,No,Yes,No tenant-facing surface. Future root-admin UI may expose this only to RootUserAdmin.,Enforce through central authorization seam using governing authz capability before feature service execution.,Yes,No,,,,,,Yes,GET /v1/root-users/:rootUserId/root-roles,Exact rootUserId required; standard pagination/filtering if needed.,Returns paginated assigned role list with role metadata and assignment metadata.,400 invalid request; 401 unauthenticated; 403 missing root-role.assignment.list; 404 root user not found.,,rootUsers public read seam for target root user existence checks.,Read assignment records joined to root role metadata.,Yes,Indexes should support reads by rootUserId and active assignment state.,Paginated list of active assignments by default.,Depends on current rootAuth protected session flow and rootUsers feature seam.,Should remain consistent with rootUsers lifecycle semantics and default list behavior.,Authenticated root session required.,Central authorization seam at route/service boundary.,,"Audit all successful mutations and any denied attempts with actor, target role/rootUser, before/after, timestamp, and reason where supplied.",Moderate; reveals authorization state for identifiable operator account.,OWASP ASVS authorization and audit controls; platform-status snapshots should be reviewed when implemented.,Yes,No,Yes,Yes,No,Yes,Yes,initial draft,v1 draft,Yes,Yes,Yes,Yes,Yes,No,"Default listing should exclude inactive assignment records unless an explicit historical read is later added, but it may still show an assigned role whose role definition is now inactive."
