Feature,Capability,Capability type (backend - frontend - vertical slice),Phase,Status,Business goal,User outcome,Notes / constraints,Primary actor,Capability boundary (root - tenant - shared),Tenant context rule,Allowed root roles,Minimum role required,Explicitly denied roles,Authorization summary,Governing authz capability,Authz scope type,Granted role / boundary,Mandatory grant?,Protected grant?,Frontend visibility rule,Backend enforcement rule,Audit actor role required?,Frontend required?,Frontend route,Frontend surface,Frontend states,Session / expiry behavior,Client-side permission behavior,API required?,Route(s),Request contract,Response contract,Error contract,Feature seam(s),Cross-feature seams,Persistence impact,Migration required?,Indexes / uniqueness,Search / filter model,Session / auth dependency,Compatibility / migration notes,Authentication requirement,Authorization enforcement layer,CSP / browser security impact,Audit requirement,Privacy / personal data impact,Standards impact,PRD required?,ADR required?,Test-case doc required?,Feature docs update required?,Runbook required?,Standards review required?,Repo health review required?,Traceability status,Lifecycle version/status,Unit tests,Integration tests,Security tests,Audit tests,Edge tests,Frontend tests,Acceptance notes
pageShellPlanning,createPageShellPlan,backend,page shell planning foundation,first draft,Create a durable planning record for a new governed frontend page shell.,"A root operator can start a new page-shell plan with selected hierarchy location, template family, route, nav posture, and allowed roles.","This first slice is planning-only and must not ask template-specific mapping questions. The accepted client shape is limited to page-shell fields only. Canonical design-system source, shell context, secondary-nav group, and secondary-nav icon are derived server-side, and system-managed lifecycle fields are never client-supplied. Repo-derived catalogs should come from synchronized planner-facing read models rather than hand-maintained planner data.",RootUserAdmin,root,root-operated planning capability outside tenant-scoped authorization; no tenant context applies,RootUserAdmin,RootUserAdmin,tenant actors; unauthenticated callers; authenticated root users without the governing capability,Only privileged root operators may create page-shell planning records. The capability is root-only and must not silently widen into general app-user planning access.,page-shell-planning.create,exact create over one new plan,RootUserAdmin,No,No,No frontend surface is required in v1 because the first slice is backend and export focused.,"Root auth and root authorization must run before plan creation. Validate selected hierarchy, feature area, template family, nav posture, and allowed roles against current catalog truth. Reject client-supplied derived or system-managed fields.",Yes,No,,,,Uses existing authenticated root-session expiry rules. No tenant session behavior applies.,No client-side behavior in v1.,Yes,POST /v1/page-shell-plans,"Body includes pageId, pageName, pageHierarchyId, featureArea, route, pagePurpose, templateFamilyId, optional secondaryNavLabel, allowedRoleKeys, and optional notes.","Returns created plan detail with pageShellPlanId, pageId, pageName, pageHierarchyId, featureArea, route, shellContext, pagePurpose, templateFamilyId, derived secondaryNavGroup, optional secondaryNavLabel, derived secondaryNavIcon, allowedRoleKeys, derived canonicalDesignSystemSource, status=draft, createdAt, updatedAt, exportedAt=null, supersededAt=null, and notes.","400 invalid payload or incompatible catalog selections, including rejected system-managed or derived fields; 401 unauthenticated; 403 unauthorized; 404 referenced hierarchy, feature area, template family, or role not found; 409 duplicate pageId or route collision.",src/features/pageShellPlanning public seam,Depends on explicit planner catalog capabilities for selectable values and the existing root-roles seam for allowed role truth. Secondary-nav group and icon derive from hierarchy and shell posture rather than their own planner inputs.,Insert one durable page-shell plan row plus normalized allowed-role junction rows.,Yes,"Unique index on pageId. Unique active index on route within shellContext. Validated references for pageHierarchyId, featureArea, templateFamily, and related nav catalogs. Index on status and updatedAt for operator review.",Exact create only; no search surface in this capability.,Authenticated root session required.,Model should remain compatible with a later frontend wizard and later template-specific planning seams without changing the durable page-shell identity or export shape.,Authenticated root session required.,Root auth middleware plus root authorization enforcement and feature-local catalog validation.,No direct browser impact in API-only v1. Future same-origin planning UI must reuse the governed form-template posture and approved child seams only.,"Audit successful creates and denied attempts with actor rootUserId, plan identifiers, selected template family, route, and selected role metadata.",Moderate; stores internal planning metadata and role visibility decisions but no end-user personal data in the first slice.,ASVS authorization and input-validation relevance. Standards review is useful because this introduces a new planning seam and durable export workflow.,Yes,Yes,Yes,Yes,No,Yes,Yes,first draft,v1 draft,Yes,Yes,Yes,Yes,Yes,No,"Capability is acceptable when a privileged root operator can create one durable page-shell plan from accepted page-shell fields only, with validated catalogs, derived canonical source, derived nav posture metadata, normalized allowed roles, and no template-specific mapping inputs."
pageShellPlanning,updatePageShellPlan,backend,page shell planning foundation,first draft,Allow privileged operators to revise an existing page-shell plan before it is exported or superseded.,A root operator can change page-shell planning fields without recreating the plan from scratch.,"Updates must revalidate all changed catalog references and allowed roles against current truth. Derived canonicalDesignSystemSource, shellContext, secondaryNavGroup, and secondaryNavIcon remain server-managed. Update may only mutate accepted page-shell fields. Exported status remains owned by the export capability, not by general update. Normal update rules exclude superseded plans unless a later explicit restore or reopen capability is added.",RootUserAdmin,root,root-operated planning capability outside tenant-scoped authorization; no tenant context applies,RootUserAdmin,RootUserAdmin,tenant actors; unauthenticated callers; authenticated root users without the governing capability,Only privileged root operators may update page-shell planning records. Updates remain root-only and server-authoritative.,page-shell-planning.update,exact mutation over one plan,RootUserAdmin,No,No,No frontend surface is required in v1 because the first slice is backend and export focused.,"Root auth and root authorization must run before update. Feature validation must reject changes that break hierarchy or feature compatibility, route uniqueness, template sign-off, nav rules, or allowed role validity. Successful updates must refresh updatedAt.",Yes,No,,,,Uses existing authenticated root-session expiry rules. No tenant session behavior applies.,No client-side behavior in v1.,Yes,PATCH /v1/page-shell-plans/:pageShellPlanId,"Exact pageShellPlanId param required. Body may include pageName, pageHierarchyId, featureArea, route, pagePurpose, templateFamilyId, optional secondaryNavLabel, allowedRoleKeys, notes, and allowed lifecycle transitions among draft, ready_for_export, and superseded.","Returns updated plan detail with the same shape as exact read, refreshed updatedAt, and newly derived canonical or nav fields when the selected template or hierarchy changes.","400 invalid payload or incompatible catalog selections, including rejected system-managed fields; 401 unauthenticated; 403 unauthorized; 404 plan not found; 409 duplicate pageId, route collision, or invalid lifecycle transition.",src/features/pageShellPlanning public seam,Depends on explicit planner catalog capabilities for selectable values and the existing root-roles seam for allowed role truth. Secondary-nav group and icon derive from hierarchy and shell posture rather than their own planner inputs.,Update one durable page-shell plan row and replace or reconcile normalized allowed-role junction rows.,Yes,"Maintain unique pageId and route-within-shell guarantees. Index by status, updatedAt, and featureArea remains useful for operator review.",Exact update only; no search surface in this capability.,Authenticated root session required.,Keep update semantics compatible with later draft review workflows and export handoff without forcing consumers to recreate plans when a signed-off template or hierarchy decision changes.,Authenticated root session required.,Root auth middleware plus root authorization enforcement and feature-local exact-plan validation.,No direct browser impact in API-only v1.,Audit successful updates and denied attempts with before-and-after summaries for changed planning fields and role selections.,Moderate; stores internal planning metadata and role visibility decisions but no end-user personal data in the first slice.,ASVS authorization and input-validation relevance. Standards review is useful because this capability mutates durable planning records and export-relevant truth.,Yes,Yes,Yes,Yes,No,Yes,Yes,first draft,v1 draft,Yes,Yes,Yes,Yes,Yes,No,"Capability is acceptable when a privileged root operator can safely revise accepted page-shell fields only, while derived values, lifecycle ownership, and validation rules remain server-authoritative."
pageShellPlanning,getPageShellPlan,backend,page shell planning foundation,first draft,Allow exact inspection of one saved page-shell plan.,"A root operator can retrieve one page-shell plan and review its current values, derived fields, allowed roles, and lifecycle state.",Normal reads should exclude superseded records unless a later explicit historical-read capability is added. Exact read is planning-detail only and must not imply export readiness by itself.,RootUserAdmin,root,root-operated planning capability outside tenant-scoped authorization; no tenant context applies,RootUserAdmin,RootUserAdmin,tenant actors; unauthenticated callers; authenticated root users without the governing capability,Only privileged root operators may read saved page-shell planning records in this first slice.,page-shell-planning.read,exact read over one plan,RootUserAdmin,No,No,No frontend surface is required in v1 because the first slice is backend and export focused.,Root auth and root authorization must run before read. Feature must resolve exactly one visible plan and return derived canonicalDesignSystemSource and normalized allowedRoleKeys from server truth.,Yes,No,,,,Uses existing authenticated root-session expiry rules. No tenant session behavior applies.,No client-side behavior in v1.,Yes,GET /v1/page-shell-plans/:pageShellPlanId,Exact pageShellPlanId param required. No body.,"Returns one page-shell plan with pageShellPlanId, pageId, pageName, pageHierarchyId, featureArea, route, shellContext, pagePurpose, templateFamilyId, derived secondaryNavGroup, optional secondaryNavLabel, derived secondaryNavIcon, allowedRoleKeys, derived canonicalDesignSystemSource, status, createdAt, updatedAt, exportedAt, supersededAt, and notes.",400 invalid identifier; 401 unauthenticated; 403 unauthorized; 404 plan not found or not normally visible.,src/features/pageShellPlanning public seam,Depends on planner catalog read models only indirectly through derived display values and on normalized role associations.,Read one durable page-shell plan row and its related role junction rows. No mutation.,Yes,Primary key on pageShellPlanId plus supporting visibility rules over status or supersededAt.,Exact read only; no search surface in this capability.,Authenticated root session required.,Read contract should stay stable when later planner UIs or export tools consume the same plan detail record.,Authenticated root session required.,Root auth middleware plus root authorization enforcement and feature-local exact-plan visibility rules.,No direct browser impact in API-only v1.,Audit denied reads and add successful-read auditing only if the planner surface becomes compliance-sensitive later.,Low to moderate; exposes internal planning and visibility metadata only to privileged root operators.,ASVS authorization relevance only; limited privacy impact because planning data is internal and non-personal in the initial slice.,Yes,No,Yes,Yes,No,Yes,No,first draft,v1 draft,Yes,Yes,Yes,Yes,Yes,No,Capability is acceptable when a privileged root operator can read one plan exactly and the response includes normalized roles and derived canonical source without exposing hidden internal-only fields.
pageShellPlanning,listPageShellPlans,backend,page shell planning foundation,first draft,Make page-shell planning records discoverable and manageable at operator scale.,A root operator can browse existing page-shell plans by lifecycle state and feature context.,"List semantics should follow repo pagination defaults. V1 should stay narrow: status and featureArea filtering are enough for the first draft, and broad free-text search should not be implied unless it is explicitly specified and indexed later. Normal list visibility should exclude superseded records by default.",RootUserAdmin,root,root-operated planning capability outside tenant-scoped authorization; no tenant context applies,RootUserAdmin,RootUserAdmin,tenant actors; unauthenticated callers; authenticated root users without the governing capability,Only privileged root operators may list planning records in this first slice.,page-shell-planning.list,list over root-scoped planning records,RootUserAdmin,No,No,No frontend surface is required in v1 because the first slice is backend and export focused.,Root auth and root authorization must run before list. Feature must enforce normal visibility defaults and validate pagination and filter params exactly.,Yes,No,,,,Uses existing authenticated root-session expiry rules. No tenant session behavior applies.,No client-side behavior in v1.,Yes,GET /v1/page-shell-plans,"List query may include page, pageSize, status, and featureArea. Pagination defaults and limits must follow repo rules.","Returns paginated plan summaries with page, pageSize, totalPages, totalMatchingRecords, totalSearchableRecords, and items containing pageShellPlanId, pageId, pageName, featureArea, route, templateFamilyId, status, and updatedAt.",400 invalid query; 401 unauthenticated; 403 unauthorized.,src/features/pageShellPlanning public seam,Depends on planner catalog-derived summary fields only as display metadata and on normalized role association summaries if later exposed.,Read durable page-shell plan rows under pagination and filtering. No mutation.,Yes,"Indexes on status, featureArea, updatedAt, and maybe shellContext support operator review. Pagination and default sort should follow repo defaults.",List or filter by status and featureArea only in the first slice; no broad search surface in v1.,Authenticated root session required.,Keep the list contract stable enough for a later planner list UI and CSV export picker without forcing a route or response redesign.,Authenticated root session required.,Root auth middleware plus root authorization enforcement and feature-local pagination validation.,No direct browser impact in API-only v1.,Audit denied list attempts. Successful list auditing is optional unless planner visibility becomes sensitive later.,Low to moderate; exposes internal planning metadata only to privileged root operators.,ASVS authorization relevance with minimal privacy impact in the initial slice.,Yes,No,Yes,Yes,No,Yes,No,first draft,v1 draft,Yes,Yes,Yes,Yes,Yes,No,"Capability is acceptable when a privileged root operator can list draft, ready_for_export, and exported plans with stable pagination and honest lifecycle visibility defaults."
pageShellPlanning,listAvailablePageShellTemplates,backend,page shell planning foundation,first draft,Expose selectable signed-off template families for page-shell planning.,A root operator can choose from the template families that are currently signed off and valid for page-shell planning.,Template options must reflect current signed-off design-system truth only. Exploratory or unsigned templates must not appear as selectable values. Canonical design-system source mapping should be available from the same source of truth.,RootUserAdmin,root,root-operated planning capability outside tenant-scoped authorization; no tenant context applies,RootUserAdmin,RootUserAdmin,tenant actors; unauthenticated callers; authenticated root users without the governing capability,Only privileged root operators may retrieve page-shell template options in this first slice.,page-shell-planning.catalog.templates,root-scoped catalog read,RootUserAdmin,No,No,No frontend surface is required in v1 because the first slice is backend and export focused.,Root auth and root authorization must run before template catalog reads. Feature must only expose active signed-off template families and derived canonicalDesignSystemSource values.,Yes,No,,,,Uses existing authenticated root-session expiry rules. No tenant session behavior applies.,No client-side behavior in v1.,Yes,GET /v1/page-shell-plans/templates,No body in the first draft.,"Returns active template options with templateFamilyId, display label, signed-off status, and derived canonicalDesignSystemSource for each selectable template family.",400 invalid catalog query; 401 unauthenticated; 403 unauthorized.,src/features/pageShellPlanning public seam,Depends on synchronized planner catalog read models for signed-off template family truth.,Read planner catalog rows or read models only. No mutation.,Yes,"Indexes on active status, display ordering, and stable ids improve planner responsiveness. Uniqueness rules belong to the source catalog.",Exact catalog retrieval only; no broad search surface in v1.,Authenticated root session required.,This capability should remain compatible with a later frontend wizard by returning stable ids and labels rather than route-specific presentation copy.,Authenticated root session required.,Root auth middleware plus root authorization enforcement and feature-local catalog validation.,No direct browser impact in API-only v1. Future planner UI must still use approved form child seams when rendering returned options.,Audit denied template catalog reads if planner visibility is treated as privileged; successful reads are optional.,Low; exposes internal planner option values only to privileged root operators.,ASVS authorization relevance. Repo-health and anti-drift relevance is high because stale template sync would undermine planner correctness.,Yes,Yes,Yes,Yes,No,Yes,Yes,first draft,v1 draft,Yes,Yes,Yes,Yes,Yes,No,Capability is acceptable when a privileged root operator can retrieve only signed-off template families with stable ids and derived canonical source values suitable for page-shell planning.
pageShellPlanning,listAvailablePageShellRoles,backend,page shell planning foundation,first draft,Expose selectable allowed-role values for page-shell planning.,A root operator can choose from the root roles that currently exist and are valid for allowed-role selection.,Role options must reflect current runtime role truth from the existing root-roles seam or an approved planner-facing read model sourced from it. The planner must not invent local role values.,RootUserAdmin,root,root-operated planning capability outside tenant-scoped authorization; no tenant context applies,RootUserAdmin,RootUserAdmin,tenant actors; unauthenticated callers; authenticated root users without the governing capability,Only privileged root operators may retrieve page-shell role options in this first slice.,page-shell-planning.catalog.roles,root-scoped catalog read,RootUserAdmin,No,No,No frontend surface is required in v1 because the first slice is backend and export focused.,Root auth and root authorization must run before role catalog reads. Feature must only expose current selectable role values from role truth.,Yes,No,,,,Uses existing authenticated root-session expiry rules. No tenant session behavior applies.,No client-side behavior in v1.,Yes,GET /v1/page-shell-plans/roles,No body in the first draft.,"Returns active role options with roleKey, displayName, description, and active or assignable status needed for page-shell planning selection.",400 invalid catalog query; 401 unauthenticated; 403 unauthorized.,src/features/pageShellPlanning public seam,Depends on the existing root-roles seam or an approved planner-facing read model sourced from it.,Read planner catalog rows or read models only. No mutation.,Yes,"Indexes on active status, display ordering, and stable keys improve planner responsiveness. Uniqueness rules belong to the source catalog.",Exact catalog retrieval only; no broad search surface in v1.,Authenticated root session required.,This capability should remain compatible with a later frontend wizard by returning stable keys and labels rather than planner-local free text.,Authenticated root session required.,Root auth middleware plus root authorization enforcement and feature-local catalog validation.,No direct browser impact in API-only v1. Future planner UI must still use approved form child seams when rendering returned options.,Audit denied role catalog reads if planner visibility is treated as privileged; successful reads are optional.,Low; exposes internal planner option values only to privileged root operators.,ASVS authorization relevance. Repo-health and anti-drift relevance is high because stale role truth would undermine planner correctness.,Yes,Yes,Yes,Yes,No,Yes,Yes,first draft,v1 draft,Yes,Yes,Yes,Yes,Yes,No,Capability is acceptable when a privileged root operator can retrieve the current allowed-role values from role truth rather than from planner-local free text.
pageShellPlanning,listAvailablePageHierarchyNodes,backend,page shell planning foundation,first draft,Expose selectable hierarchy locations for page-shell planning.,A root operator can choose from the existing page hierarchy locations that are valid targets for a new page shell.,Hierarchy options must reflect current architecture truth and existing page-placement rules. Invalid or inactive hierarchy nodes must not appear as selectable values.,RootUserAdmin,root,root-operated planning capability outside tenant-scoped authorization; no tenant context applies,RootUserAdmin,RootUserAdmin,tenant actors; unauthenticated callers; authenticated root users without the governing capability,Only privileged root operators may retrieve page hierarchy options in this first slice.,page-shell-planning.catalog.hierarchy,root-scoped catalog read,RootUserAdmin,No,No,No frontend surface is required in v1 because the first slice is backend and export focused.,Root auth and root authorization must run before hierarchy catalog reads. Feature must only expose active hierarchy nodes that legitimately host a new page shell.,Yes,No,,,,Uses existing authenticated root-session expiry rules. No tenant session behavior applies.,No client-side behavior in v1.,Yes,GET /v1/page-shell-plans/hierarchy,No body in the first draft.,"Returns active hierarchy options with pageHierarchyId, display label, parent context, and planner-relevant shell placement metadata.",400 invalid catalog query; 401 unauthenticated; 403 unauthorized.,src/features/pageShellPlanning public seam,Depends on synchronized planner catalog read models for current page hierarchy truth.,Read planner catalog rows or read models only. No mutation.,Yes,"Indexes on active status, display ordering, and stable ids improve planner responsiveness. Uniqueness rules belong to the source catalog.",Exact catalog retrieval only; no broad search surface in v1.,Authenticated root session required.,This capability should remain compatible with a later frontend wizard by returning stable ids and labels rather than route-specific presentation copy.,Authenticated root session required.,Root auth middleware plus root authorization enforcement and feature-local catalog validation.,No direct browser impact in API-only v1. Future planner UI must still use approved form child seams when rendering returned options.,Audit denied hierarchy catalog reads if planner visibility is treated as privileged; successful reads are optional.,Low; exposes internal planner option values only to privileged root operators.,ASVS authorization relevance. Repo-health and anti-drift relevance is high because stale hierarchy truth would undermine planner correctness.,Yes,Yes,Yes,Yes,No,Yes,Yes,first draft,v1 draft,Yes,Yes,Yes,Yes,Yes,No,Capability is acceptable when a privileged root operator can retrieve the current hierarchy locations that legitimately host a new page shell.
pageShellPlanning,listAvailablePageShellFeatureAreas,backend,page shell planning foundation,first draft,Expose selectable owning feature areas for page-shell planning.,A root operator can choose from the current feature or module owners that may own a new page shell.,Feature-area options must reflect current architecture truth and stay aligned with page hierarchy compatibility rules. Planner-local feature names are not allowed.,RootUserAdmin,root,root-operated planning capability outside tenant-scoped authorization; no tenant context applies,RootUserAdmin,RootUserAdmin,tenant actors; unauthenticated callers; authenticated root users without the governing capability,Only privileged root operators may retrieve page-shell feature-area options in this first slice.,page-shell-planning.catalog.feature-areas,root-scoped catalog read,RootUserAdmin,No,No,No frontend surface is required in v1 because the first slice is backend and export focused.,Root auth and root authorization must run before feature-area catalog reads. Feature must only expose active owning feature areas from architecture truth.,Yes,No,,,,Uses existing authenticated root-session expiry rules. No tenant session behavior applies.,No client-side behavior in v1.,Yes,GET /v1/page-shell-plans/feature-areas,No body in the first draft.,"Returns active feature area options with featureAreaId, display label, and planner-relevant ownership metadata.",400 invalid catalog query; 401 unauthenticated; 403 unauthorized.,src/features/pageShellPlanning public seam,Depends on synchronized planner catalog read models for current feature-area truth.,Read planner catalog rows or read models only. No mutation.,Yes,"Indexes on active status, display ordering, and stable ids improve planner responsiveness. Uniqueness rules belong to the source catalog.",Exact catalog retrieval only; no broad search surface in v1.,Authenticated root session required.,This capability should remain compatible with a later frontend wizard by returning stable ids and labels rather than route-specific presentation copy.,Authenticated root session required.,Root auth middleware plus root authorization enforcement and feature-local catalog validation.,No direct browser impact in API-only v1. Future planner UI must still use approved form child seams when rendering returned options.,Audit denied feature-area catalog reads if planner visibility is treated as privileged; successful reads are optional.,Low; exposes internal planner option values only to privileged root operators.,ASVS authorization relevance. Repo-health and anti-drift relevance is high because stale feature-area truth would undermine planner correctness.,Yes,Yes,Yes,Yes,No,Yes,Yes,first draft,v1 draft,Yes,Yes,Yes,Yes,Yes,No,Capability is acceptable when a privileged root operator can retrieve the current owning feature areas with stable ids suitable for page-shell planning.
pageShellPlanning,validatePageShellPlan,backend,page shell planning foundation,first draft,Tell whether a saved page-shell plan is structurally ready for export and downstream use.,A root operator can review blocking issues and warnings before attempting export.,Validation should remain read-only and should not silently mutate plans. Warnings are useful for non-blocking concerns such as notes carrying likely structured data that should become a structured field later.,RootUserAdmin,root,root-operated planning capability outside tenant-scoped authorization; no tenant context applies,RootUserAdmin,RootUserAdmin,tenant actors; unauthenticated callers; authenticated root users without the governing capability,Only privileged root operators may validate planning records in this first slice.,page-shell-planning.validate,exact validation over one saved plan,RootUserAdmin,No,No,No frontend surface is required in v1 because the first slice is backend and export focused.,"Root auth and root authorization must run before validation. Feature must evaluate current plan values against current catalog truth, route uniqueness, nav requirements, and signed-off template status and return explicit blocking issues instead of ambiguous pass-or-fail only.",Yes,No,,,,Uses existing authenticated root-session expiry rules. No tenant session behavior applies.,No client-side behavior in v1.,Yes,POST /v1/page-shell-plans/:pageShellPlanId/validate,Exact pageShellPlanId param required. No request body in the first draft.,"Returns validation summary with passFailState, blockingIssues, warnings, and exportEligibility derived from current server truth.",400 invalid identifier; 401 unauthenticated; 403 unauthorized; 404 plan not found.,src/features/pageShellPlanning public seam,Depends on current planner catalog truth and route uniqueness checks and may later share validation logic with export.,Read-only validation over one durable page-shell plan and related catalogs. No mutation.,Yes,Indexes that support route uniqueness and active catalog lookups remain relevant. Validation itself introduces no new search model.,Exact validation only; no list or search surface in this capability.,Authenticated root session required.,Keep validation output stable enough that a later planner UI and automated export workflow can both consume the same issue model.,Authenticated root session required.,Root auth middleware plus root authorization enforcement and feature-local validation engine.,No direct browser impact in API-only v1.,Audit denied validation attempts if planner surfaces are privileged; successful validation auditing is optional.,Low; validation output exposes internal planning and configuration issues only to privileged root operators.,ASVS authorization and input-validation relevance. Anti-drift relevance is high because this capability protects export honesty.,Yes,No,Yes,Yes,No,Yes,Yes,first draft,v1 draft,Yes,Yes,Yes,Yes,Yes,No,"Capability is acceptable when a privileged root operator receives honest blocking issues for invalid template, hierarchy, role, route, derived nav posture, and lifecycle combinations before export."
pageShellPlanning,exportPageShellPlanCsv,backend,page shell planning foundation,first draft,Produce the deterministic CSV artifact consumed by Codex and the downstream frontend implementation loop.,A root operator can export one or more ready page-shell plans into stable new-page-shell-matrix.csv rows for repo review and commit.,Export must be deterministic and must not include template-specific mapping data. Only plans in ready_for_export or exported status should be exportable in the first slice. allowedRoleKeys must be sorted and pipe-delimited in stable order. Export owns the transition into exported state and the stamping of exportedAt.,RootUserAdmin,root,root-operated planning capability outside tenant-scoped authorization; no tenant context applies,RootUserAdmin,RootUserAdmin,tenant actors; unauthenticated callers; authenticated root users without the governing capability,Only privileged root operators may export planning records into CSV artifacts in this first slice.,page-shell-planning.export,root-scoped export over selected plans,RootUserAdmin,No,No,No frontend surface is required in v1 because the first slice is backend and export focused.,Root auth and root authorization must run before export. Feature must validate export eligibility and derive canonicalDesignSystemSource and stable allowedRoleKeys ordering from server truth before returning CSV content and stamping export lifecycle fields.,Yes,No,,,,Uses existing authenticated root-session expiry rules. No tenant session behavior applies.,No client-side behavior in v1.,Yes,POST /v1/page-shell-plans/export,Request identifies selected pageShellPlanIds or an explicitly approved export scope. Only plans in exportable lifecycle states are accepted.,Returns CSV content or an export artifact reference containing stable ordered rows with the locked new-page-shell-matrix.csv columns and server-derived canonical design-system source and nav posture values.,400 invalid export scope; 401 unauthenticated; 403 unauthorized; 404 selected plan not found; 409 export blocked by current validation failure or ineligible lifecycle state.,src/features/pageShellPlanning public seam,"Depends on current planner catalog truth, validation logic, and stable plan read models; downstream repo commit remains outside this capability.",Read exportable page-shell plans and stamp exportedAt plus exported lifecycle state when export succeeds. No template-specific data is introduced.,Yes,"Indexes on status, exportedAt, and plan identifiers support export selection and lifecycle review. Export ordering should remain deterministic.",Export by selected plan ids or explicit scope only; no broad search surface in this capability.,Authenticated root session required.,Keep the CSV family stable so a future frontend wizard and later template-specific seams can generate and consume the same exported artifact without redesigning the first seam.,Authenticated root session required.,Root auth middleware plus root authorization enforcement and feature-local export eligibility validation.,No direct browser impact in API-only v1. Future same-origin export UI must still remain within the governed form and shell posture.,"Audit successful exports and denied export attempts with actor rootUserId, selected plan ids, output filename or scope, and resulting lifecycle changes.",Low to moderate; exports internal planning and visibility metadata for repo review but no end-user personal data in the first slice.,ASVS authorization and integrity relevance. Standards and repo-health review matter because this capability produces anti-drift source artifacts consumed by Codex and future implementation loops.,Yes,Yes,Yes,Yes,No,Yes,Yes,first draft,v1 draft,Yes,Yes,Yes,Yes,Yes,No,"Capability is acceptable when a privileged root operator can export stable new-page-shell-matrix rows from validated plans only, with deterministic ordering, server-derived canonical fields, derived nav posture metadata, and export-owned lifecycle stamping."
