Feature,Capability,Capability type (backend - frontend - vertical slice),Phase,Status,Business goal,User outcome,Notes / constraints,Primary actor,Allowed root roles,Minimum role required,Explicitly denied roles,Authorization summary,Governing authz capability,Authz scope type,Granted role / boundary,Mandatory grant?,Protected grant?,Frontend visibility rule,Backend enforcement rule,Audit actor role required?,Frontend required?,Frontend route,Frontend surface,Frontend states,Session / expiry behavior,Client-side permission behavior,API required?,Route(s),Request contract,Response contract,Error contract,Feature seam(s),Cross-feature seams,Persistence impact,Migration required?,Indexes / uniqueness,Search / filter model,Session / auth dependency,Compatibility / migration notes,Authentication requirement,Authorization enforcement layer,CSP / browser security impact,Audit requirement,Privacy / personal data impact,Standards impact,PRD required?,ADR required?,Test-case doc required?,Feature docs update required?,Runbook required?,Standards review required?,Repo health review required?,Traceability status,Lifecycle version/status,Unit tests,Integration tests,Security tests,Audit tests,Edge tests,Frontend tests,Acceptance notes
rootUsers,createRootUser,backend,Build,Current repo-aligned,Create a durable privileged operator record.,Authenticated root user can add a root user for platform operations.,Email trimmed and stored lowercase; status not client-set on create; system-managed fields rejected.,Authenticated root user,RootUserAdmin,RootUserAdmin,unauthenticated callers; tenant admins; tenant users,Current boundary is the explicit RootUserAdmin operator role.,root-user.create,can(...),RootUserAdmin,Yes,Yes,No direct rootUsers browser CRUD UI in phase one.,Valid root-user session plus shared authenticated-general rate limiting.,Not as a separate feature-owned model today.,No,,,n/a,Bearer root session required for API use; browser shell authenticates through rootAuth but does not expose full CRUD UI.,No dedicated rootUsers UI yet.,Yes,POST /v1/root-users,"body { email, firstName?, lastName? }",201 root-user summary,400 INVALID_REQUEST; 409 ROOT_USER_EMAIL_ALREADY_EXISTS,rootUsers contract/domain/persistence/transport plus integration.ts,Protected by rootAuth-backed session middleware; exports createRootUsersAuthStateReader to rootAuth.,"Insert root_users row with generated UUID, timestamps, anonymized=false, deletedAt=null.",Already implemented,Unique normalized non-deleted email; primary key on rootUserId.,Mutation capability.,Requires valid root-auth session; authenticated-general throttling may return 429 RATE_LIMITED.,Normal reads exclude deleted rows by default; auth-state seam must stay narrow.,Valid authenticated root-user session,Shared bearer-session middleware plus feature transport/service validation,None directly for API-only routes.,Feature-specific durable audit model is not yet defined; surrounding auth/session/security visibility remains relevant.,Stores and exposes operator email and optional names.,"Must respect normalization, durable data, stable errors, pagination defaults, and soft-delete rules.",Yes,No,Yes,Yes,No,Yes,Recommended,PRD rootUsers + TC-ROOT-USERS-UNIT-001,v1 / active,Normalize email; reject duplicates; reject system-managed fields.,Create then verify visible list and lifecycle behavior.,Duplicate-email and invalid-request payload stability; authenticated boundary enforced.,Lifecycle change remains operator-visible through surrounding platform behavior.,Empty strings and unexpected fields rejected.,n/a,Done when create path matches PRD contract and validation.
rootUsers,getRootUser,backend,Build,Current repo-aligned,Provide exact visible lookup by rootUserId.,Authenticated root user can retrieve a visible root user by ID.,Visible rows only; deleted and anonymized rows hidden.,Authenticated root user,RootUserAdmin,RootUserAdmin,unauthenticated callers; tenant admins; tenant users,Current boundary is the explicit RootUserAdmin operator role.,root-user.read.visible,can(...),RootUserAdmin,Yes,Yes,No direct rootUsers browser CRUD UI in phase one.,Valid root-user session plus shared authenticated-general rate limiting.,Not as a separate feature-owned model today.,No,,,n/a,Bearer root session required for API use; browser shell authenticates through rootAuth but does not expose full CRUD UI.,No dedicated rootUsers UI yet.,Yes,GET /v1/root-users/:rootUserId,params { rootUserId },200 root-user summary,400 INVALID_REQUEST; 404 ROOT_USER_NOT_FOUND,rootUsers contract/domain/persistence/transport plus integration.ts,Protected by rootAuth-backed session middleware; exports createRootUsersAuthStateReader to rootAuth.,Find visible row by ID.,Already implemented,Primary key on rootUserId.,Exact lookup by ID only.,Requires valid root-auth session; authenticated-general throttling may return 429 RATE_LIMITED.,Normal reads exclude deleted rows by default; auth-state seam must stay narrow.,Valid authenticated root-user session,Shared bearer-session middleware plus feature transport/service validation,None directly for API-only routes.,Feature-specific durable audit model is not yet defined; surrounding auth/session/security visibility remains relevant.,Stores and exposes operator email and optional names.,"Must respect normalization, durable data, stable errors, pagination defaults, and soft-delete rules.",Yes,No,Yes,Yes,No,Yes,Recommended,PRD rootUsers + TC-ROOT-USERS-UNIT-002,v1 / active,Visible lookup succeeds; deleted/anonymized hidden.,Protected route reachable with valid root-auth session.,Invalid UUID rejected; missing/invalid session rejected.,n/a beyond surrounding request/auth visibility.,Unknown ID returns stable not-found payload.,n/a,Done when only visible rows are returned and stable errors match contract.
rootUsers,getRootUserByEmail,backend,Build,Current repo-aligned,Provide exact visible lookup by normalized email.,Authenticated root user can retrieve a visible root user by email.,Handled on collection route when email query is present.,Authenticated root user,RootUserAdmin,RootUserAdmin,unauthenticated callers; tenant admins; tenant users,Current boundary is the explicit RootUserAdmin operator role.,root-user.read.visible,can(...),RootUserAdmin,Yes,Yes,No direct rootUsers browser CRUD UI in phase one.,Valid root-user session plus shared authenticated-general rate limiting.,Not as a separate feature-owned model today.,No,,,n/a,Bearer root session required for API use; browser shell authenticates through rootAuth but does not expose full CRUD UI.,No dedicated rootUsers UI yet.,Yes,GET /v1/root-users?email=person@example.com,query { email } exact normalized lookup,200 root-user summary,400 INVALID_REQUEST; 404 ROOT_USER_NOT_FOUND,rootUsers contract/domain/persistence/transport plus integration.ts,Protected by rootAuth-backed session middleware; exports createRootUsersAuthStateReader to rootAuth.,Find visible row by normalized email.,Already implemented,Normalized email lookup index.,Exact email lookup only when email query present.,Requires valid root-auth session; authenticated-general throttling may return 429 RATE_LIMITED.,Normal reads exclude deleted rows by default; auth-state seam must stay narrow.,Valid authenticated root-user session,Shared bearer-session middleware plus feature transport/service validation,None directly for API-only routes.,Feature-specific durable audit model is not yet defined; surrounding auth/session/security visibility remains relevant.,Stores and exposes operator email and optional names.,"Must respect normalization, durable data, stable errors, pagination defaults, and soft-delete rules.",Yes,No,Yes,Yes,No,Yes,Recommended,PRD rootUsers + TC-ROOT-USERS-UNIT-003,v1 / active,Normalized lookup; deleted/anonymized hidden.,Collection-route exact lookup stays aligned with visible-read semantics.,Invalid email rejected; session boundary enforced.,n/a beyond surrounding request/auth visibility.,Unknown email returns stable not-found payload.,n/a,Done when exact email lookup stays visible-only and normalized.
rootUsers,listRootUsers,backend,Build,Current repo-aligned,Provide filtered paginated listing of visible root users.,Authenticated root user can browse visible root users with deterministic pagination and totals.,Current repo contract excludes deleted and anonymized rows from the normal list.,Authenticated root user,RootUserAdmin,RootUserAdmin,unauthenticated callers; tenant admins; tenant users,Current boundary is the explicit RootUserAdmin operator role.,root-user.read.visible,scope(...) and can(...),RootUserAdmin,Yes,Yes,No direct rootUsers browser CRUD UI in phase one.,Valid root-user session plus shared authenticated-general rate limiting.,Not as a separate feature-owned model today.,No,,,n/a,Bearer root session required for API use; browser shell authenticates through rootAuth but does not expose full CRUD UI.,No dedicated rootUsers UI yet.,Yes,GET /v1/root-users,"query pagination, sorting, supported filters; email query switches to exact lookup",200 paginated list with items and totals,400 INVALID_REQUEST,rootUsers contract/domain/persistence/transport plus integration.ts,Protected by rootAuth-backed session middleware; exports createRootUsersAuthStateReader to rootAuth.,List visible rows with totals.,Already implemented,Indexes for normalized email/name prefix and timestamp/status filters.,Prefix and range filters; visible rows only.,Requires valid root-auth session; authenticated-general throttling may return 429 RATE_LIMITED.,Normal reads exclude deleted rows by default; auth-state seam must stay narrow.,Valid authenticated root-user session,Shared bearer-session middleware plus feature transport/service validation,None directly for API-only routes.,Feature-specific durable audit model is not yet defined; surrounding auth/session/security visibility remains relevant.,Stores and exposes operator email and optional names.,"Must respect normalization, durable data, stable errors, pagination defaults, and soft-delete rules.",Yes,No,Yes,Yes,No,Yes,Recommended,"PRD rootUsers + TC-ROOT-USERS-UNIT-004, INT-001",v1 / active,"Pagination, filtering, sorting, visible-only scope.",Authenticated root session can access route; visible list reflects lifecycle mutations.,Authenticated-general throttling and session boundary enforced.,n/a beyond surrounding platform visibility.,Invalid query rejected with stable payload.,n/a,Done when normal list excludes deleted/anonymized rows and totals are deterministic.
rootUsers,listActiveRootUsers,backend,Build,Current repo-aligned,Provide filtered paginated listing of active visible root users.,Authenticated root user can browse only active visible operators.,Active-only route remains distinct from normal list and deleted list.,Authenticated root user,RootUserAdmin,RootUserAdmin,unauthenticated callers; tenant admins; tenant users,Current boundary is the explicit RootUserAdmin operator role.,root-user.read.active,scope(...),RootUserAdmin,No,No,No direct rootUsers browser CRUD UI in phase one.,Valid root-user session plus shared authenticated-general rate limiting.,Not as a separate feature-owned model today.,No,,,n/a,Bearer root session required for API use; browser shell authenticates through rootAuth but does not expose full CRUD UI.,No dedicated rootUsers UI yet.,Yes,GET /v1/root-users/active,"query pagination, sorting, and active-list filters",200 paginated active visible list,400 INVALID_REQUEST,rootUsers contract/domain/persistence/transport plus integration.ts,Protected by rootAuth-backed session middleware; exports createRootUsersAuthStateReader to rootAuth.,List active visible rows with totals.,Already implemented,Indexes aligned to visible active-list filters.,Visible + active only.,Requires valid root-auth session; authenticated-general throttling may return 429 RATE_LIMITED.,Normal reads exclude deleted rows by default; auth-state seam must stay narrow.,Valid authenticated root-user session,Shared bearer-session middleware plus feature transport/service validation,None directly for API-only routes.,Feature-specific durable audit model is not yet defined; surrounding auth/session/security visibility remains relevant.,Stores and exposes operator email and optional names.,"Must respect normalization, durable data, stable errors, pagination defaults, and soft-delete rules.",Yes,No,Yes,Yes,No,Yes,Recommended,PRD rootUsers + TC-ROOT-USERS-UNIT-005,v1 / active,Only active visible rows returned; filters and sorting deterministic.,Lifecycle mutations affect active-list visibility as expected.,Authenticated-general throttling and session boundary enforced.,n/a,Invalid query rejected.,n/a,Done when active-only route stays aligned to active visible contract.
rootUsers,updateRootUser,backend,Build,Current repo-aligned,Allow controlled updates to editable root-user fields.,Authenticated root user can update visible root-user business fields.,Only visible rows updateable; system-managed fields rejected; updatedAt refreshed.,Authenticated root user,RootUserAdmin,RootUserAdmin,unauthenticated callers; tenant admins; tenant users,Current boundary is the explicit RootUserAdmin operator role.,root-user.update,can(...),RootUserAdmin,Yes,Yes,No direct rootUsers browser CRUD UI in phase one.,Valid root-user session plus shared authenticated-general rate limiting.,Not as a separate feature-owned model today.,No,,,n/a,Bearer root session required for API use; browser shell authenticates through rootAuth but does not expose full CRUD UI.,No dedicated rootUsers UI yet.,Yes,PATCH /v1/root-users/:rootUserId,"params { rootUserId }, body { email?, firstName?, lastName?, status? }",200 updated root-user summary,400 INVALID_REQUEST; 404 ROOT_USER_NOT_FOUND; 409 ROOT_USER_EMAIL_ALREADY_EXISTS,rootUsers contract/domain/persistence/transport plus integration.ts,Protected by rootAuth-backed session middleware; exports createRootUsersAuthStateReader to rootAuth.,Update visible row; refresh updatedAt.,Already implemented,Normalized non-deleted email uniqueness enforced on update.,Mutation capability.,Requires valid root-auth session; authenticated-general throttling may return 429 RATE_LIMITED.,Normal reads exclude deleted rows by default; auth-state seam must stay narrow.,Valid authenticated root-user session,Shared bearer-session middleware plus feature transport/service validation,None directly for API-only routes.,Feature-specific durable audit model is not yet defined; surrounding auth/session/security visibility remains relevant.,Stores and exposes operator email and optional names.,"Must respect normalization, durable data, stable errors, pagination defaults, and soft-delete rules.",Yes,No,Yes,Yes,No,Yes,Recommended,"PRD rootUsers + TC-ROOT-USERS-UNIT-006, EDGE-001",v1 / active,Update fields; duplicate email rejection; updatedAt refresh.,Updated row remains consistent across lookups/lists.,Invalid input and session boundary enforced.,Operator-visible through authenticated platform behavior.,No-field update rejected.,n/a,Done when updates preserve visibility rules and normalized uniqueness.
rootUsers,deleteRootUser,backend,Build,Current repo-aligned,Soft delete a visible root user without losing durable history.,Authenticated root user can remove a user from normal visibility while preserving the record.,Soft delete differs from remove/anonymize; sets deletedAt and updatedAt.,Authenticated root user,RootUserAdmin,RootUserAdmin,unauthenticated callers; tenant admins; tenant users,Current boundary is the explicit RootUserAdmin operator role.,root-user.delete,can(...),RootUserAdmin,No,Yes,No direct rootUsers browser CRUD UI in phase one.,Valid root-user session plus shared authenticated-general rate limiting.,Not as a separate feature-owned model today.,No,,,n/a,Bearer root session required for API use; browser shell authenticates through rootAuth but does not expose full CRUD UI.,No dedicated rootUsers UI yet.,Yes,DELETE /v1/root-users/:rootUserId,params { rootUserId },200 updated root-user summary with deletedAt set,400 INVALID_REQUEST; 404 ROOT_USER_NOT_FOUND; 409 ROOT_USER_ALREADY_DELETED or ROOT_USER_ALREADY_ANONYMIZED,rootUsers contract/domain/persistence/transport plus integration.ts,Protected by rootAuth-backed session middleware; exports createRootUsersAuthStateReader to rootAuth.,Soft delete row; set deletedAt; refresh updatedAt.,Already implemented,Deleted rows remain out of normal unique-active scope.,Mutation capability.,Requires valid root-auth session; authenticated-general throttling may return 429 RATE_LIMITED.,Normal reads exclude deleted rows by default; auth-state seam must stay narrow.,Valid authenticated root-user session,Shared bearer-session middleware plus feature transport/service validation,None directly for API-only routes.,Feature-specific durable audit model is not yet defined; surrounding auth/session/security visibility remains relevant.,Stores and exposes operator email and optional names.,"Must respect normalization, durable data, stable errors, pagination defaults, and soft-delete rules.",Yes,No,Yes,Yes,No,Yes,Recommended,"PRD rootUsers + TC-ROOT-USERS-UNIT-007, INT-003",v1 / active,Soft delete success; repeat delete/anonymized rejection.,Create -> delete -> deleted list flow.,Visibility and uniqueness rules preserved after delete.,Operator-visible through surrounding platform behavior.,Unknown target and repeated delete paths.,n/a,Done when soft delete is distinct from remove and normal reads exclude deleted rows.
rootUsers,listDeletedRootUsers,backend,Build,Current repo-aligned,Provide explicit deleted-only listing with optional anonymized exclusion.,Authenticated root user can inspect deleted rows separately from normal visibility.,Deleted-only surface may hide anonymized rows when excludeAnonymized=true.,Authenticated root user,RootUserAdmin,RootUserAdmin,unauthenticated callers; tenant admins; tenant users,Current boundary is the explicit RootUserAdmin operator role.,root-user.read.deleted,scope(...),RootUserAdmin,No,Yes,No direct rootUsers browser CRUD UI in phase one.,Valid root-user session plus shared authenticated-general rate limiting.,Not as a separate feature-owned model today.,No,,,n/a,Bearer root session required for API use; browser shell authenticates through rootAuth but does not expose full CRUD UI.,No dedicated rootUsers UI yet.,Yes,GET /v1/root-users/deleted,"query pagination, sorting, filters, excludeAnonymized?",200 paginated list of deleted rows,400 INVALID_REQUEST,rootUsers contract/domain/persistence/transport plus integration.ts,Protected by rootAuth-backed session middleware; exports createRootUsersAuthStateReader to rootAuth.,List deleted rows with totals.,Already implemented,Indexes aligned to deleted-row filters and anonymized flag.,Deleted rows only; excludeAnonymized supported.,Requires valid root-auth session; authenticated-general throttling may return 429 RATE_LIMITED.,Normal reads exclude deleted rows by default; auth-state seam must stay narrow.,Valid authenticated root-user session,Shared bearer-session middleware plus feature transport/service validation,None directly for API-only routes.,Feature-specific durable audit model is not yet defined; surrounding auth/session/security visibility remains relevant.,Stores and exposes operator email and optional names.,"Must respect normalization, durable data, stable errors, pagination defaults, and soft-delete rules.",Yes,No,Yes,Yes,No,Yes,Recommended,PRD rootUsers + TC-ROOT-USERS-UNIT-008,v1 / active,Deleted-only listing; excludeAnonymized behavior; deterministic filters.,Deleted rows appear only through explicit deleted-list behavior.,Session boundary and stable invalid-query payloads.,n/a,Invalid query rejected.,n/a,Done when deleted rows are exposed only through explicit capability.
rootUsers,reActivateRootUser,backend,Build,Current repo-aligned,Restore an eligible deleted root user back to visible active state.,Authenticated root user can reactivate a deleted non-anonymized user when uniqueness allows.,"Must be deleted, not anonymized, and not collide on normalized email.",Authenticated root user,RootUserAdmin,RootUserAdmin,unauthenticated callers; tenant admins; tenant users,Current boundary is the explicit RootUserAdmin operator role.,root-user.reactivate,can(...),RootUserAdmin,No,Yes,No direct rootUsers browser CRUD UI in phase one.,Valid root-user session plus shared authenticated-general rate limiting.,Not as a separate feature-owned model today.,No,,,n/a,Bearer root session required for API use; browser shell authenticates through rootAuth but does not expose full CRUD UI.,No dedicated rootUsers UI yet.,Yes,POST /v1/root-users/:rootUserId/reactivate,params { rootUserId },200 updated root-user summary with deletedAt cleared,"400 INVALID_REQUEST; 404 ROOT_USER_NOT_FOUND; 409 ROOT_USER_NOT_DELETED, ROOT_USER_ALREADY_ANONYMIZED, ROOT_USER_EMAIL_ALREADY_EXISTS",rootUsers contract/domain/persistence/transport plus integration.ts,Protected by rootAuth-backed session middleware; exports createRootUsersAuthStateReader to rootAuth.,Clear deletedAt; refresh updatedAt; restore visible row.,Already implemented,Normalized non-deleted email uniqueness rechecked on restore.,Mutation capability.,Requires valid root-auth session; authenticated-general throttling may return 429 RATE_LIMITED.,Normal reads exclude deleted rows by default; auth-state seam must stay narrow.,Valid authenticated root-user session,Shared bearer-session middleware plus feature transport/service validation,None directly for API-only routes.,Feature-specific durable audit model is not yet defined; surrounding auth/session/security visibility remains relevant.,Stores and exposes operator email and optional names.,"Must respect normalization, durable data, stable errors, pagination defaults, and soft-delete rules.",Yes,No,Yes,Yes,No,Yes,Recommended,"PRD rootUsers + TC-ROOT-USERS-UNIT-009, INT-003",v1 / active,Valid reactivate; visible/anonymized/conflicting rows rejected.,Deleted list -> reactivate -> visible list flow.,Uniqueness preserved across lifecycle changes.,Operator-visible through surrounding platform behavior.,Already-visible row and conflict rejection paths.,n/a,Done when only eligible deleted rows reactivate and uniqueness is enforced.
rootUsers,removeRootUser,backend,Build,Current repo-aligned,Irreversibly anonymize a root user while retaining durable lifecycle history.,Authenticated root user can permanently anonymize a root-user record.,Operation is irreversible; anonymized values are server-generated; anonymized rows cannot be reactivated.,Authenticated root user,RootUserAdmin,RootUserAdmin,unauthenticated callers; tenant admins; tenant users,Current boundary is the explicit RootUserAdmin operator role.,root-user.remove,can(...),RootUserAdmin,No,Yes,No direct rootUsers browser CRUD UI in phase one.,Valid root-user session plus shared authenticated-general rate limiting.,Not as a separate feature-owned model today.,No,,,n/a,Bearer root session required for API use; browser shell authenticates through rootAuth but does not expose full CRUD UI.,No dedicated rootUsers UI yet.,Yes,POST /v1/root-users/:rootUserId/remove,params { rootUserId },200 anonymized root-user summary,400 INVALID_REQUEST; 404 ROOT_USER_NOT_FOUND,rootUsers contract/domain/persistence/transport plus integration.ts,Protected by rootAuth-backed session middleware; exports createRootUsersAuthStateReader to rootAuth.,"Anonymize row in place, mark lifecycle accordingly, refresh updatedAt.",Already implemented,Generated anonymized values must remain valid and non-colliding.,Mutation capability.,Requires valid root-auth session; authenticated-general throttling may return 429 RATE_LIMITED.,Normal reads exclude deleted rows by default; auth-state seam must stay narrow.,Valid authenticated root-user session,Shared bearer-session middleware plus feature transport/service validation,None directly for API-only routes.,Feature-specific durable audit model is not yet defined; surrounding auth/session/security visibility remains relevant.,Stores and exposes operator email and optional names.,"Must respect normalization, durable data, stable errors, pagination defaults, and soft-delete rules.",Yes,No,Yes,Yes,No,Yes,Recommended,"PRD rootUsers + TC-ROOT-USERS-UNIT-010, INT-003",v1 / active,Anonymize irreversibly; generated replacement values; reactivation blocked later.,Create/delete/remove path keeps normal visibility blocked.,Anonymized rows remain excluded from normal visibility.,Operator-visible through surrounding platform behavior.,Later reactivation attempt blocked.,n/a,Done when anonymization is irreversible and distinct from soft delete.
