"Matrix column","Category","Meaning","How the system/planner should decide","Notes"
"Feature","Approved feature key","Owning feature/module such as rootUsers, tenantAuth, organizationCore, assets, or platformAuthorization.","Use the feature that owns the durable behavior, data, route family, or public seam.","Controlled name; allowed values come from repo feature names and planning artifacts."
"Capability","Capability key/name","Specific action, route obligation, artifact obligation, or business capability represented by the row.","Use one row per distinct business capability, runtime obligation, or governed artifact obligation.","Controlled name; should be stable enough for traceability."
"Capability type","backend","Server/API/domain/persistence capability.","Use when the row is primarily backend behavior and no rendered UI is delivered by this row.",""
"Capability type","frontend","Browser UI, design-system, route topology, or rendered behavior capability.","Use when the work is primarily frontend or design-system behavior.",""
"Capability type","vertical-slice","End-to-end capability spanning UI, API/domain behavior, persistence, and evidence.","Use when one row intentionally covers a complete user-visible path across layers.",""
"Capability type","governance","Artifact, standards, compliance, routing policy, or traceability obligation rather than product runtime behavior.","Use when the row controls how delivery is allowed to proceed.",""
"Phase","Feature-specific phase","Delivery/planning phase such as foundation, MVP, v1, migration, or adoption.","Use the phase named by the PRD, story breakdown, roadmap, or implementation plan.","Controlled name rather than a universal enum."
"Status","draft","Row is being shaped and not yet approved.","Use during early planning when content may still change materially.",""
"Status","first draft","Initial complete pass exists but has not been promoted to approved source truth.","Use for first complete capability-matrix drafts.",""
"Status","approved","Accepted planning source truth.","Use only after the relevant review/approval point.",""
"Status","implemented","Runtime/artifact work exists and required evidence gates are satisfied.","Use only when implementation, docs, and verification obligations are met.",""
"Status","deferred","Valid capability intentionally moved out of current scope.","Use when the row is acknowledged but not planned for this delivery slice.",""
"Status","blocked","Capability cannot proceed until a prerequisite decision, artifact, runtime seam, or signoff exists.","Use when proceeding would violate repo guardrails or leave a material unresolved decision.",""
"Primary actor","rootAdmin","Root/platform administrator or operator.","Use for root-owned platform actions outside tenant-scoped authority.","Controlled name; feature-specific actor labels are allowed when clearer."
"Primary actor","tenantAdmin","Tenant/customer-side administrator.","Use for tenant-scoped administration inside exactly one current tenant context.",""
"Primary actor","adminOwner","V1 tenant admin owner role.","Use when the adminOwner authorization model is the intended actor.",""
"Primary actor","system job","Background or scheduled automation.","Use when a durable job or scheduler initiates the capability.",""
"Primary actor","public caller","Unauthenticated caller.","Use only for public-safe flows such as public login starts.",""
"Primary actor","platform seam","Internal platform interface or service boundary.","Use for shared evaluators, catalogues, or cross-feature interfaces.",""
"Primary actor","governance harness","Planning, standards, or artifact automation/process.","Use for rows whose actor is the delivery harness rather than an end user.",""
"Capability boundary","root","Root/platform-owned behavior.","Use for root admin/operator capabilities and root-owned platform controls.",""
"Capability boundary","tenant","Tenant/customer-context behavior.","Use when the behavior belongs to exactly one current tenant context.",""
"Capability boundary","shared","Shared platform behavior across route families or features.","Use for contracts, evaluators, shared catalogues, or shared policy rows.",""
"Capability boundary","feature-public-seam","Narrow public interface exported by a feature for other features to consume.","Use when the row exists to define cross-feature access without private persistence imports.",""
"Governing authz capability","Permission key","Exact authorization capability key that grants or governs the action.","Use the key from permission mapping/capability catalog when runtime authorization exists or is planned.","Controlled name; use not-applicable when the row has no runtime authorization capability."
"Governing authz capability","not-applicable","No governing runtime authorization key applies.","Use for internal-only, artifact-only, or future-TBD rows where no authz key is defined yet.",""
"Authority world","root","Root/platform authority.","Use for root sessions, root-owned controls, and root operator actions.",""
"Authority world","tenant","Tenant-scoped authority.","Use for tenant actors acting inside one current tenant context.",""
"Authority world","system","System or automation authority.","Use for jobs, schedulers, and platform automation acting under defined authority.",""
"Authority world","public","Public unauthenticated authority.","Use only for public-safe routes or flows.",""
"Authority world","shared-cross-tenant","Explicitly approved shared behavior across tenant boundaries.","Use only with explicit approval and documented cross-tenant rules.","Default posture is not to use this."
"Authority world","shared-platform","Shared platform seam or governance authority.","Use for evaluators, denial contracts, shared artifacts, and internal platform policies.",""
"Actor boundary","root actor","Root/platform user or operator.","Use for root-authenticated runtime actions.",""
"Actor boundary","tenant actor","Tenant-scoped user/admin.","Use for tenant-authenticated runtime actions.",""
"Actor boundary","system job","Background automation actor.","Use when a job/scheduler performs the action.",""
"Actor boundary","public caller","Unauthenticated caller.","Use for public-safe endpoints only.",""
"Actor boundary","platform seam","Internal platform interface.","Use for evaluators, contracts, adapters, and shared route-family behavior.",""
"Actor boundary","governance harness","Planning or artifact process.","Use for rows about standards, traceability, and artifact conformance.",""
"Tenant context required","yes","Exactly one tenant context is required.","Use for tenant-scoped runtime behavior and tenant-owned data access.",""
"Tenant context required","no","Tenant context is not required and should not be treated as authority.","Use for root, global, public, or artifact-only rows.",""
"Tenant context required","conditional","Tenant context depends on caller, route family, or future implementation choice.","Use for shared seams, mixed root/tenant contracts, or planning rows.",""
"Tenant context source","session","Tenant context comes from server-side session/auth context.","Use for normal tenant-authenticated requests.",""
"Tenant context source","explicit selection","Tenant context comes from an explicit server-validated selection.","Use for tenant switching or selected workspace flows.",""
"Tenant context source","route param","Tenant context comes from the route path.","Use only when the route contract explicitly makes the route parameter authoritative or target-scoping data.","Do not infer authority from mutable request bodies."
"Tenant context source","job payload","Tenant context comes from durable job context that must be revalidated.","Use for background jobs acting on tenant-scoped work.",""
"Tenant context source","request context","Tenant context comes from a composed server request context.","Use for evaluators/shared seams that receive normalized context.",""
"Tenant context source","not-applicable","No tenant context source exists.","Use for root/global/public/artifact-only rows.",""
"Cross-tenant posture","denied-by-default","Cross-tenant access is blocked unless a more specific approved posture exists.","Default for tenant-scoped data and tenant route families.",""
"Cross-tenant posture","root-approved","Root/operator authority may cross tenant boundaries for approved platform purposes.","Use for root-owned platform capabilities with documented authority and audit posture.",""
"Cross-tenant posture","shared-cross-tenant-approved","Shared cross-tenant behavior is explicitly approved.","Use only when a planning artifact approves the shared-cross-tenant design.","Rare; requires explicit approval."
"Cross-tenant posture","not-applicable","No tenant boundary is involved.","Use for public/global/governance-only rows or rows with no runtime access path.",""
"Grant source posture","documentation-only","Grant/capability is documented but not yet seeded, migrated, or runtime-enforced.","Use in planning rows before implementation proof exists.",""
"Grant source posture","seed-backed","Grant/capability is created by seed/bootstrap data.","Use when new environments receive it through seed data.",""
"Grant source posture","corrective-migration-backed","Grant/capability is created or repaired through migration for existing environments.","Use when existing deployments need a migration to align permissions.",""
"Grant source posture","runtime-enforced","Grant/capability is enforced by runtime server-side checks.","Use only after implementation and tests prove enforcement.",""
"Grant source posture","blocked","Grant model is unresolved or unsafe to expose.","Use when permission exposure would be misleading or insecure.",""
"UI eligibility","not-exposed","No UI action or display should expose this capability.","Use for backend/internal/governance rows or hidden platform seams.",""
"UI eligibility","read-only","UI may display information but not provide a mutating action.","Use when read presentation is allowed but action is not.",""
"UI eligibility","usable-when-runtime-enforced","UI may become usable after server-side enforcement proof exists.","Use for planned UI actions that must wait for runtime authz/tests.",""
"UI eligibility","blocked","UI must not expose this capability yet.","Use when design-system, runtime enforcement, or product prerequisites are missing.",""
"Runtime enforcement required","yes","Server/runtime enforcement is required.","Default for real API, mutation, tenant, permission, asset, job, and security-sensitive behavior.",""
"Runtime enforcement required","no","No runtime enforcement is required.","Use for pure documentation/governance rows with no executable behavior.",""
"Lifecycle gate required","yes","Capability must check lifecycle state before allowing behavior.","Use for durable entities, soft delete, archive/reactivate, tenant lifecycle, jobs, and stateful workflows.",""
"Lifecycle gate required","no","No lifecycle state affects the capability.","Use for static docs, pure contracts, or behavior with no stateful entity.",""
"Lifecycle gate required","conditional","Lifecycle checks depend on route family/entity/future implementation.","Use for shared seams or planning rows whose concrete target is not selected yet.",""
"Denial category","missing capability","Actor lacks the required capability/grant.","Use when capability/grant absence is the expected denial.",""
"Denial category","invalid scope","Request scope does not match allowed authority.","Use when route/object/tenant scope is invalid.",""
"Denial category","wrong authority world","Actor is authenticated in the wrong authority world, such as tenant actor attempting root-owned control.","Use for root-vs-tenant separation failures.",""
"Denial category","tenant selection required","No valid current tenant context exists.","Use for tenant-scoped requests missing tenant context.",""
"Denial category","cross-tenant denied","Actor attempted to access another tenant's data without approved authority.","Use for tenant boundary denials.",""
"Denial category","tenant lifecycle restricted","Tenant lifecycle state blocks action.","Use when disabled/inactive/deleted/deletion-pending posture gates behavior.",""
"Denial category","feature unavailable","Feature/config/entitlement gate blocks action.","Use when feature availability, plan, or configuration denies access.",""
"Denial category","sensitive fallback","Public response should hide sensitive existence or policy truth.","Use when 404/403 mapping must avoid leaking sensitive information.",""
