Feature,Capability,Capability type (backend - frontend - vertical slice),Phase,Status,Business goal,User outcome,Notes / constraints,Primary actor,Allowed root roles,Minimum role required,Explicitly denied roles,Authorization summary,Governing authz capability,Authz scope type,Granted role / boundary,Mandatory grant?,Protected grant?,Frontend visibility rule,Backend enforcement rule,Audit actor role required?,Frontend required?,Frontend route,Frontend surface,Frontend states,Session / expiry behavior,Client-side permission behavior,API required?,Route(s),Request contract,Response contract,Error contract,Feature seam(s),Cross-feature seams,Persistence impact,Migration required?,Indexes / uniqueness,Search / filter model,Session / auth dependency,Compatibility / migration notes,Authentication requirement,Authorization enforcement layer,CSP / browser security impact,Audit requirement,Privacy / personal data impact,Standards impact,PRD required?,ADR required?,Test-case doc required?,Feature docs update required?,Runbook required?,Standards review required?,Repo health review required?,Traceability status,Lifecycle version/status,Unit tests,Integration tests,Security tests,Audit tests,Edge tests,Frontend tests,Acceptance notes
rootRoles,createSystemRootRole,backend,,,"create a system role, give it a name and include a description of what the role does.",,,rootAdminUser,,rootAdminUser,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rootRoles,getSystemRootRole,backend,,,view a system role and the capabilities assigned to it and the description. Each capabilities also has a description,,,rootAdminUser,,rootAdminUser,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rootRoles,listSystemRootRoles,backend,,,view a list of all system roles and their descriptions and assigned capabilities,,,rootAdminUser,,rootAdminUser,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rootRoles,updateSystemRootRole,backend,,,"update an existing system role (name, description)",,,rootAdminUser,,rootAdminUser,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rootRoles,deleteSystemRootRole,backend,,,remove an existing system role,,,rootAdminUser,,rootAdminUser,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rootRoles,listSystemRootRoleEligibleAuthzCapabilities,backend,,,"for a given role, what authz capabilities can be assigned to it, for each capability what is the description. Mandatory capabilities should be flagged as mandatory.",,,rootAdminUser,,rootAdminUser,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rootRoles,listSystemRootRoleCapabilityAssignments,backend,,,"for a given role, what authz capabilities are assigned to it. For each capability what is the description?",,,rootAdminUser,,rootAdminUser,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rootRoles,listSystemRootRoleNonAssignedCapabilities,backend,,,"for a given role, what eligible authz capabilities are not assigned to it",,,rootAdminUser,,rootAdminUser,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rootRoles,updateSystemRootRoleCapabilityGrants,backend,,,"for a given role, assign or unassign eligible capabilities to that role. Mandatory capabilities cannot be unassigned.",,,rootAdminUser,,rootAdminUser,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rootRoles,assignSystemRootRoleToRootUser,backend,,,for a given user assign an eligible role,,,rootAdminUser,,rootAdminUser,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rootRoles,unassignSystemRootRoleFromRootUser,backend,,,for a given user unassign elibigle role.,,,rootAdminUser,,rootAdminUser,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rootRoles,listRootUserAssignedSystemRootRoles,backend,,,for a given user show the roles assigned to them,,,rootAdminUser,,rootAdminUser,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rootRoles,getEffectiveRootUserPermissions ,backend,,,"for a given user, what capabilities are available to them based on the roles they have",,,rootAdminUser,,rootAdminUser,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
