Feature,Capability,Capability type,Phase,Status,Business goal,Primary actor,Capability boundary,Tenant context rule,Authorization summary,Governing authz capability,API required,Route(s),Request contract,Response contract,Error contract,Feature seam(s),Cross-feature seams,Persistence impact,Migration required?,Indexes / uniqueness,Search / filter model,Lifecycle / cleanup rules,Expiry / abandoned-state behavior,Orphaned external resource handling,Scheduled maintenance or job dependency,Cleanup retry and failure recording,Authentication requirement,Authorization enforcement layer,Audit requirement,Privacy / personal data impact,Data classification / PII posture,PRD required?,ADR required?,Test-case doc required?,Feature docs update required?,Standards review required?,Traceability status,Lifecycle version/status,Unit tests,Integration tests,Security tests,Persistence-backed tests,Acceptance notes
platformAuthorization,adminOwnerRoleGlobalConsistency,backend,adminOwner v1 foundation,first draft,Define one globally consistent tenant admin owner role for V1,adminOwner,tenant,Exactly one current tenant context is required for any runtime tenant-scoped request,adminOwner is the only V1 tenant admin role and must not diverge by tenant,admin-owner.role.global-consistency,No,not applicable,not applicable,not applicable,not applicable,tenant authz role catalog,future tenantAuth grant/membership seam,None in this row; implementation storage is covered by adminOwnerGrantStorage,No,No index in this row,No search in this row,Multiple adminOwner actors may have equal authority; transfer semantics do not apply,Pending invite has no authority until accepted/setup complete,not applicable,not applicable,not applicable,Authenticated tenant session when runtime-enforced,central evaluator after implementation,Historical action records must preserve actor identity,May reference tenant admin actor identity and tenant identifier,PII-adjacent identity metadata,Yes,Yes,Yes,Yes,Yes,first draft,v1 draft,Yes,Yes,Yes,Yes,Accepted when PRD and later implementation prove no tenant-specific adminOwner divergence.
platformAuthorization,rootOwnedTenantControls,backend,adminOwner v1 foundation,first draft,Preserve root-owned controls outside tenant admin authority,rootAdmin,root,Root routes operate outside tenant authz unless future design says otherwise,Root owns tenant setup branding tenant-admin management commercial entitlements support emergency and recovery controls,root-owned.tenant-controls,No,not applicable,not applicable,not applicable,not applicable,root authz compatibility boundary,rootRoles rootAuth tenants billing support seams,None in this row,No,No index in this row,No search in this row,Root recovery rules depend on tenant lifecycle/deletion posture,Root sessions follow normal root session expiry,not applicable,not applicable,not applicable,Authenticated root session for root actions,existing root capability middleware plus future evaluator compatibility,Support/emergency actions require explicit reason/reference and audit,May expose commercial/support metadata only through approved surfaces,Sensitive operator and commercial metadata,Yes,Yes,Yes,Yes,Yes,first draft,v1 draft,Yes,Yes,Yes,No,Accepted when tenant routes prove root-owned controls cannot be changed by adminOwner.
platformAuthorization,platformAuthorizationDenialContractAdoption,backend,adminOwner v1 foundation,first draft,Make tenant-admin route denials safe consistent and helpful where possible,API owner,shared,Current tenant context required for tenant route denial categories,Tenant-admin route contracts consume the shared platform authorization denial contract or record explicit compatibility exceptions,platform-authz.denial-contract.adoption,Yes,future tenant-admin route families,Route-family contracts must specify tenant selection lifecycle feature role cross-tenant object attribute and sensitive fallback categories,Response bodies use shared code/message/details posture where safe,401 unauthenticated; 403 forbidden where safe; 404 hidden sensitive fallback; 409 recoverable tenant selection/configuration state,API contract docs,tenant route families and platform authorization denial contract,None in this row,No,No index in this row,No search in this row,Denial categories must remain truthful across lifecycle changes,Session expiry uses existing auth/session behavior,not applicable,not applicable,not applicable,Authenticated actor as route requires,route middleware plus evaluator decision mapping,Denied sensitive operations are auditable; successful sensitive allows may be auditable,Denial messages must not leak sensitive existence or root-only truth,Sensitive security metadata in internal proof only,Yes,Yes,Yes,Yes,Yes,first draft,v1 draft,Yes,Yes,Yes,No,Accepted when first route-family API contract maps every relevant denial category.
platformAuthorization,platformAuthorizationCompatibilityRootTenantAuth,backend,adminOwner v1 foundation,first draft,Preserve current root and tenant auth route compatibility while adding new tenant authz model,API owner,shared,Existing routes preserve their current context rules unless explicitly migrated,Existing root and tenant-auth denial codes remain compatible by default,platform-authz.compatibility.root-tenant-auth,Yes,existing root and tenant-auth route families,No request contract change in this row,Existing response contracts remain stable,Existing UNAUTHORIZED INVALID_SESSION FORBIDDEN and tenant-auth codes remain until route-family migration,API contract docs,rootAuth tenantAuth rootRoles tenants,None in this row,No,No index in this row,No search in this row,Compatibility migrations require explicit route-family plan,Existing session expiry behavior remains,not applicable,not applicable,not applicable,Authenticated actor as route requires,existing middleware plus future adapter,Compatibility-sensitive denials remain auditable through current posture,No new data exposure in this row,Sensitive authn/authz metadata,Yes,Yes,Yes,Yes,Yes,first draft,v1 draft,Yes,Yes,Yes,No,Accepted when implementation blueprint states which existing routes are untouched versus migrated.
platformAuthorization,adminOwnerGrantStorage,backend,adminOwner v1 foundation,first draft,Store durable tenant adminOwner authority separately from root roles,authz platform,tenant,Each grant belongs to exactly one tenant context,adminOwner grants are durable tenant-scoped facts with source posture and immediate revocation support,admin-owner.grant.storage,No,not applicable,not applicable,not applicable,not applicable,tenant role/grant resolver,tenantAuth tenantAdmins future membership seams,New or extended tenant grant storage required,Yes,Unique active grant per actor tenant role if storage selected,Exact lookup by actor tenant and role; no broad search in first slice,Revoked grants stop authorizing immediately and historical action records remain,Pending invited admins have no authority,not applicable,not applicable,not applicable,Authenticated tenant actor when evaluated,central evaluator plus grant resolver,Grant creation revocation and sensitive decisions require audit,Stores tenant admin actor identity tenant id grant posture and timestamps,PII-adjacent identity and security metadata,Yes,Yes,Yes,Yes,Yes,first draft,v1 draft,Yes,Yes,Yes,Yes,Accepted only after implementation blueprint selects grant storage posture.
platformAuthorization,adminOwnerAuthorityLifecycle,backend,adminOwner v1 foundation,first draft,Ensure tenant admin authority starts only after setup and ends immediately on revocation,adminOwner,tenant,Exactly one current tenant context required,Pending invited admins have no authority; accepted/setup-complete admins can authorize; removed or suspended admins deny immediately,admin-owner.authority.lifecycle,No,not applicable,not applicable,not applicable,not applicable,tenant authority resolver,tenantAdmins tenantAuth grant storage,Depends on selected grant/admin state storage,Yes if storage changes,Indexes depend on selected storage,Exact actor tenant authority lookup,Invite accepted/setup complete enables authority; removal/suspension revokes authority immediately,Session authority must be revalidated at next refresh or request as designed,not applicable,not applicable,not applicable,Authenticated tenant session required,central evaluator plus tenant authority resolver,Authority lifecycle transitions and denied stale sessions are auditable,Stores tenant admin actor lifecycle and authority posture,PII-adjacent identity and security metadata,Yes,Yes,Yes,Yes,Yes,first draft,v1 draft,Yes,Yes,Yes,Yes,Accepted when pending and revoked admins cannot pass protected route checks.
platformAuthorization,evaluatorTenantContextCrossTenantDeny,backend,adminOwner v1 foundation,first draft,Enforce exactly one tenant context and deny cross-tenant access by default,protected tenant route,tenant,Exactly one current tenant context per request; no mutable body inference,Cross-tenant access denies unless explicit approved root/operator capability exists,evaluator.tenant-context.cross-tenant-deny,Yes,future protected tenant routes,Request must not rely on client-supplied tenantId body as authority,Decision includes allow deny category and safe public mapping,Tenant selection required tenant context unavailable cross-tenant denied sensitive fallback,central authorization evaluator,tenantAuth tenants feature route families,None in this row,No,No index in this row,No search in this row,Tenant context changes require explicit switching action,Tenant context refresh follows session rules,not applicable,not applicable,not applicable,Authenticated tenant session required,evaluator before feature mutation/read,Denied cross-tenant attempts require audit where sensitive,Internal proof may include attempted tenant/resource ids but public response must be safe,Sensitive tenant boundary metadata,Yes,Yes,Yes,Yes,Yes,first draft,v1 draft,Yes,Yes,Yes,No,Accepted when evaluator denies missing multi or mismatched tenant context before feature code mutates data.
platformAuthorization,evaluatorDecisionProof,backend,adminOwner v1 foundation,first draft,Return consistent allow/deny proof and audit recommendations from evaluator,backend platform,shared,Proof includes tenant context when tenant-scoped,Evaluator decisions include category public mapping internal reason policy source grant source and audit recommendation,evaluator.decision-proof,Yes,future protected route families,AuthorizationRequest shape defined in implementation blueprint,AuthorizationDecision shape defines allow/deny proof and audit recommendation,Uses shared platform authorization denial categories,central authorization evaluator,feature fact resolvers audit sink,None in this row,No,No index in this row,No search in this row,Decision proof reflects current lifecycle and grant state at evaluation time,Session expiry handled before authz where applicable,not applicable,not applicable,not applicable,Authenticated actor as route requires,central evaluator,Proof-bearing events emitted according to audit requirement,Internal proof may contain sensitive policy and grant details,Sensitive security metadata,Yes,Yes,Yes,Yes,Yes,first draft,v1 draft,Yes,Yes,Yes,No,Accepted when evaluator proof can explain allow deny and audit posture without leaking sensitive details to clients.
platformAuthorization,evaluatorAbacRebacTypedExtension,backend,adminOwner v1 foundation,first draft,Keep future ABAC ReBAC and object rules easy to add without overbuilding V1,backend platform,shared,Extension facts must be evaluated inside the current tenant context for tenant-scoped requests,Typed extension inputs exist but are skipped explicitly unless a feature supplies approved facts,evaluator.abac-rebac.typed-extension,No,not applicable,not applicable,not applicable,not applicable,central authorization evaluator,future feature-owned fact resolvers,None in V1,No,No index in this row,No search in this row,No ABAC/ReBAC runtime lifecycle in V1,not applicable,not applicable,not applicable,not applicable,Authenticated actor as route requires if evaluated,central evaluator extension dispatcher,Skipped extension posture should be testable; denials require audit when active,Future attributes/relationships may contain sensitive business facts,Sensitive future extension metadata,Yes,Yes,Yes,Yes,Yes,first draft,v1 draft,Yes,Yes,Yes,No,Accepted when V1 code path can prove extensions are typed and skipped not silently absent.
platformAuthorization,tenantLifecycleAuthzFactsCompatibility,backend,adminOwner v1 foundation,first draft,Make ADR-0037 lifecycle and deletion posture available to authz without breaking current tenants behavior,tenant lifecycle owner,tenant,Authz reads lifecycle/deletion posture for exactly one current tenant,Tenant operational lifecycle and deletion posture are separate facts and must not be silently overloaded,tenant-lifecycle.authz-facts.compatibility,No,not applicable,not applicable,not applicable,not applicable,tenant lifecycle authz fact resolver,tenants feature data dictionary migration plan,Storage compatibility plan required before runtime,Yes,Indexes depend on selected lifecycle/deletion storage,Exact tenant lookup; operational lists remain separate,Lifecycle/deletion transitions emit events and affect authz immediately or by documented refresh,Session behavior by state follows ADR-0037 and API contract,not applicable,retention/deletion jobs later,Deletion failures recorded by deletion workflow not this row,Authenticated actor as route requires if evaluated,evaluator plus tenant lifecycle resolver,Lifecycle/deletion authz events required for sensitive denials,Tenant lifecycle reasons may be customer-visible or root-only depending reason,Sensitive lifecycle/compliance metadata,Yes,Yes,Yes,Yes,Yes,first draft,v1 draft,Yes,Yes,Yes,Yes,Accepted only after compatibility strategy with current tenant status/deletedAt is documented.
