"Feature","Capability","Capability type (backend - frontend - vertical slice)","Phase","Status","Business goal","User outcome","Notes / constraints","Primary actor","Allowed root roles","Minimum role required","Explicitly denied roles","Authorization summary","Frontend visibility rule","Backend enforcement rule","Audit actor role required?","Frontend required?","Frontend route","Frontend surface","Frontend states","Session / expiry behavior","Client-side permission behavior","API required?","Route(s)","Request contract","Response contract","Error contract","Feature seam(s)","Cross-feature seams","Persistence impact","Migration required?","Indexes / uniqueness","Search / filter model","Session / auth dependency","Compatibility / migration notes","Authentication requirement","Authorization enforcement layer","CSP / browser security impact","Audit requirement","Privacy / personal data impact","Standards impact","PRD required?","ADR required?","Test-case doc required?","Feature docs update required?","Runbook required?","Standards review required?","Repo health review required?","Traceability status","Lifecycle version/status","Unit tests","Integration tests","Security tests","Audit tests","Edge tests","Frontend tests","Acceptance notes"
"authorization","createPlatformRoleTemplate","backend","Foundation","First draft","Create a root-managed default role template for later tenant authorization.","Root user can define a reusable role template with default capability grants.","Platform-defined templates only; tenant self-service role creation is out of scope; protected bootstrap roles may be non-removable.","Root user","rootUser","rootUser","tenant actors; unauthenticated callers","Root-only authorization-management capability outside tenant authz.","No tenant-side visibility; future root-admin UI only.","Root-user-only management route plus central authorization seam.","Yes","No","","","n/a","Requires valid root-user session; outside tenant context.","No client-side tenant behavior in phase one.","Yes","POST /v1/authorization/role-templates","body { templateKey, displayName, description?, protected?, defaultCapabilities[] }","201 role-template summary","400 INVALID_REQUEST; 409 ROLE_TEMPLATE_ALREADY_EXISTS; 401/403 authz failures","authorization contract/domain/persistence/transport plus integration.ts","Depends on rootAuth authenticated root-user session context; feeds tenant-role copy flows.","Insert platform_role_template rows and initial default capability grants.","Yes","Unique templateKey; indexes on protected flag and status.","Exact lookup by template key; list/filter later.","Requires authenticated root-user session.","Template keys should be stable once referenced by tenant copies.","Valid authenticated root-user session","Central authorization seam plus root-user-only backend guard","None directly for API-only routes.","Durable authz admin audit event with actor, before/after, tenant=null, reason/comment.","Stores operator-supplied role names/descriptions and capability mappings.","Touches privileged admin control, durable auditability, and protected-role safety rules.","Yes","Yes","Yes","Yes","No","Yes","Yes","Draft from ADR-0016 + authz PRD","v1 / proposed","Validate template key, protected flag, and capability list.","Create template and verify stable persistence + audit event.","Reject tenant actor/non-root access; reject malformed capability grants.","Audit payload includes actor, after state, and reason/comment.","Protected bootstrap template semantics and duplicate template key handling.","n/a","Done when root users can create stable platform role templates with durable audit visibility."
"authorization","updatePlatformRoleTemplate","backend","Foundation","First draft","Allow controlled evolution of default role templates.","Root user can update a platform role template for future tenant copies or explicit propagation flows.","Updates do not silently change existing tenant copies; propagation requires explicit later root-user action.","Root user","rootUser","rootUser","tenant actors; unauthenticated callers","Root-only authorization-management capability outside tenant authz.","No tenant-side visibility; future root-admin UI only.","Root-user-only management route plus central authorization seam; must not auto-update tenant roles.","Yes","No","","","n/a","Requires valid root-user session; outside tenant context.","No client-side tenant behavior in phase one.","Yes","PATCH /v1/authorization/role-templates/:templateKey","params { templateKey }, body { displayName?, description?, protected?, defaultCapabilities? }","200 updated role-template summary","400 INVALID_REQUEST; 404 ROLE_TEMPLATE_NOT_FOUND; 409 protected/safety conflict; 401/403 authz failures","authorization contract/domain/persistence/transport plus integration.ts","Depends on rootAuth authenticated root-user session context; impacts later tenant-role copy and propagation flows.","Update platform_role_template row and default capability grants; write admin audit event.","Yes","Unique templateKey; indexes on protected flag and status.","Exact lookup by template key; list/filter later.","Requires authenticated root-user session.","Existing tenant copies remain unchanged unless a later explicit propagation capability is used.","Valid authenticated root-user session","Central authorization seam plus root-user-only backend guard","None directly for API-only routes.","Durable authz admin audit event with before/after and reason/comment.","Stores operator-supplied role names/descriptions and capability mappings.","Touches privileged admin control, durable auditability, and protected-role safety rules.","Yes","Yes","Yes","Yes","No","Yes","Yes","Draft from ADR-0016 + authz PRD","v1 / proposed","Validate immutable/stable fields and protected-role constraints.","Update template without mutating tenant copies; verify audit and persistence behavior.","Reject tenant actor/non-root access; protected bootstrap mutation rules enforced.","Audit payload captures before/after values and actor.","Protected bootstrap mutation and attempted unsafe edits handled cleanly.","n/a","Done when template updates are explicit, auditable, and do not silently rewrite tenant-local roles."
"authorization","copyRoleTemplateToTenant","backend","Foundation","First draft","Bootstrap a tenant-local role from a platform template.","Root user can create a tenant-scoped role copy from a platform template for one tenant.","Copied role begins from template defaults and then may diverge independently; copy target is one tenant only.","Root user","rootUser","rootUser","tenant actors; unauthenticated callers","Root-only authorization-management capability outside tenant authz.","No tenant-side visibility; future root-admin UI only.","Root-user-only management route plus central authorization seam.","Yes","No","","","n/a","Requires valid root-user session; acts on one target tenant context.","No client-side tenant behavior in phase one.","Yes","POST /v1/authorization/tenants/:tenantId/roles/copy-from-template","params { tenantId }, body { templateKey, roleKey?, displayNameOverride?, reason? }","201 tenant-role summary","400 INVALID_REQUEST; 404 TEMPLATE_OR_TENANT_NOT_FOUND; 409 TENANT_ROLE_ALREADY_EXISTS; 401/403 authz failures","authorization contract/domain/persistence/transport plus integration.ts","Depends on rootAuth root-user session; later consumed by tenant membership role assignment flows.","Insert tenant_role and tenant_role_capability_grant rows based on selected template; write admin audit event.","Yes","Unique (tenantId, roleKey); index (tenantId, templateKey).","Exact lookup by tenant and role key.","Requires authenticated root-user session.","Role-key stability matters once assignments exist; copied grants should preserve protected markers when needed.","Valid authenticated root-user session","Central authorization seam plus root-user-only backend guard","None directly for API-only routes.","Durable authz admin audit event with actor, tenant, source template, and resulting role.","Processes tenant identifiers, role names, and capability mappings.","Touches privileged admin control, protected-role safety rules, and durable authz auditability.","Yes","Yes","Yes","Yes","No","Yes","Yes","Draft from ADR-0016 + authz PRD","v1 / proposed","Copy template into tenant role and preserve capability grants.","Verify copied role is tenant-scoped and independent of later template edits.","Reject tenant actor/non-root access; target-tenant validation enforced.","Audit payload includes source template and resulting grants.","Duplicate copy, missing tenant, and protected bootstrap role cases handled cleanly.","n/a","Done when one tenant can receive an explicit auditable role copy that later diverges independently."
"authorization","updateTenantRoleCapabilityGrants","backend","Foundation","First draft","Allow tenant-local divergence of role capability grants under root-user control.","Root user can add or remove capabilities on a tenant-local role.","Tenant roles may diverge from template defaults only through explicit root-user action; protected grants may be non-removable.","Root user","rootUser","rootUser","tenant actors; unauthenticated callers","Root-only authorization-management capability outside tenant authz.","No tenant-side visibility; future root-admin UI only.","Root-user-only management route plus central authorization seam plus protected-grant safety rules.","Yes","No","","","n/a","Requires valid root-user session; acts on one target tenant role.","No client-side tenant behavior in phase one.","Yes","PATCH /v1/authorization/tenants/:tenantId/roles/:roleKey/capabilities","params { tenantId, roleKey }, body { add[], remove[], reason? }","200 tenant-role grant summary","400 INVALID_REQUEST; 404 TENANT_ROLE_NOT_FOUND; 409 PROTECTED_GRANT_CONFLICT; 401/403 authz failures","authorization contract/domain/persistence/transport plus integration.ts","Depends on rootAuth root-user session; capability definitions are global catalog records.","Insert/delete tenant_role_capability_grant rows; write admin audit event with before/after grant set.","Yes","Unique (tenantRoleId, capabilityKey); indexes by capabilityKey and tenantRoleId.","Exact lookup by tenant/role; list grants by tenant role.","Requires authenticated root-user session.","Grant updates should take effect immediately after transaction commit.","Valid authenticated root-user session","Central authorization seam plus root-user-only backend guard","None directly for API-only routes.","Durable authz admin audit event with before/after grants and reason/comment.","Processes tenant identifiers, role labels, and effective capability mappings.","Touches privileged admin control, protected-grant safety rules, and durable authz auditability.","Yes","Yes","Yes","Yes","No","Yes","Yes","Draft from ADR-0016 + authz PRD","v1 / proposed","Validate capability add/remove semantics and protected-grant constraints.","Grant changes persist immediately and become visible to evaluation flows.","Reject tenant actor/non-root access; protected grant removal blocked.","Audit payload captures before/after grant sets.","Empty change set, duplicate capability, and unknown capability handling.","n/a","Done when tenant-role grants can diverge explicitly, safely, and auditably."
"authorization","assignTenantRoleToMembership","backend","Foundation","First draft","Assign tenant-local authorization to one tenant membership.","Root user can grant a tenant role to a principal's tenant membership.","Assignments are tenant-scoped only and combine by union with other assigned roles.","Root user","rootUser","rootUser","tenant actors; unauthenticated callers","Root-only authorization-management capability outside tenant authz.","No tenant-side visibility; future root-admin UI only.","Root-user-only management route plus central authorization seam.","Yes","No","","","n/a","Requires valid root-user session; target membership and role must belong to same tenant.","No client-side tenant behavior in phase one.","Yes","POST /v1/authorization/tenants/:tenantId/memberships/:membershipId/roles","params { tenantId, membershipId }, body { roleKey, reason? }","201 role-assignment summary","400 INVALID_REQUEST; 404 MEMBERSHIP_OR_ROLE_NOT_FOUND; 409 ROLE_ALREADY_ASSIGNED; 401/403 authz failures","authorization contract/domain/persistence/transport plus integration.ts","Depends on rootAuth root-user session; later consumed by can/scope runtime evaluation.","Insert tenant_membership_role_assignment row; write admin audit event.","Yes","Unique (tenantMembershipId, tenantRoleId); indexes by tenantRoleId and membershipId.","Exact lookup by tenant/membership/role.","Requires authenticated root-user session.","Assignment changes should affect runtime evaluation immediately.","Valid authenticated root-user session","Central authorization seam plus root-user-only backend guard","None directly for API-only routes.","Durable authz admin audit event with actor, tenant, membership, role, and reason/comment.","Processes tenant identifiers, membership identifiers, and role assignments.","Touches privileged admin control, durable authz auditability, and union-of-grants semantics.","Yes","Yes","Yes","Yes","No","Yes","Yes","Draft from ADR-0016 + authz PRD","v1 / proposed","Validate tenant-scoped assignment and duplicate prevention.","Assignment is immediately reflected in effective authorization evaluation.","Reject tenant actor/non-root access; tenant mismatch and unknown role blocked.","Audit payload records assigned role and actor.","Cross-tenant mismatch handling and immediate-effect semantics.","n/a","Done when tenant role assignment is tenant-scoped, auditable, and effective immediately."
"authorization","unassignTenantRoleFromMembership","backend","Foundation","First draft","Remove a tenant role from one tenant membership.","Root user can revoke a tenant role from a tenant membership.","Must enforce last-admin-equivalent safety rules before removing protected admin coverage.","Root user","rootUser","rootUser","tenant actors; unauthenticated callers","Root-only authorization-management capability outside tenant authz.","No tenant-side visibility; future root-admin UI only.","Root-user-only management route plus central authorization seam plus last-admin safety rule.","Yes","No","","","n/a","Requires valid root-user session; target membership and role must belong to same tenant.","No client-side tenant behavior in phase one.","Yes","DELETE /v1/authorization/tenants/:tenantId/memberships/:membershipId/roles/:roleKey","params { tenantId, membershipId, roleKey }, optional body/query { reason }","200 removal summary","400 INVALID_REQUEST; 404 ROLE_ASSIGNMENT_NOT_FOUND; 409 LAST_ADMIN_CONFLICT; 401/403 authz failures","authorization contract/domain/persistence/transport plus integration.ts","Depends on rootAuth root-user session; impacts effective access evaluation immediately.","Delete tenant_membership_role_assignment row if safe; write admin audit event.","Yes","Unique (tenantMembershipId, tenantRoleId); indexes by tenantRoleId and membershipId.","Exact lookup by tenant/membership/role.","Requires authenticated root-user session.","Safety rule must be enforced transactionally so the tenant cannot lose all admin-equivalent coverage.","Valid authenticated root-user session","Central authorization seam plus root-user-only backend guard","None directly for API-only routes.","Durable authz admin audit event with actor, tenant, membership, role, and reason/comment.","Processes tenant identifiers, membership identifiers, and role assignments.","Touches privileged admin control, durable authz auditability, and last-admin safety rules.","Yes","Yes","Yes","Yes","No","Yes","Yes","Draft from ADR-0016 + authz PRD","v1 / proposed","Validate removal and last-admin safety behavior.","Removal is immediately reflected in effective authorization evaluation.","Reject tenant actor/non-root access; block unsafe last-admin removals.","Audit payload records removed role and actor.","Idempotency/repeat removal and protected admin coverage edge cases.","n/a","Done when role unassignment is immediate, auditable, and blocked when it would violate tenant safety constraints."
"authorization","readEffectiveTenantAuthorization","backend","Foundation","First draft","Explain the effective authorization state for one tenant membership.","Root user can inspect roles, grants, and resulting scopes for a tenant membership.","Read-only introspection capability for management/debugging; later may power UI and support tooling.","Root user","rootUser","rootUser","tenant actors; unauthenticated callers","Root-only authorization-management capability outside tenant authz.","No tenant-side visibility; future root-admin UI only.","Root-user-only management route plus central authorization seam.","Yes","No","","","n/a","Requires valid root-user session; target membership is in one tenant.","No client-side tenant behavior in phase one.","Yes","GET /v1/authorization/tenants/:tenantId/memberships/:membershipId/effective-access","params { tenantId, membershipId }","200 effective-access summary including assigned roles and effective capabilities/scopes","400 INVALID_REQUEST; 404 MEMBERSHIP_NOT_FOUND; 401/403 authz failures","authorization contract/domain/persistence/transport plus integration.ts","Depends on rootAuth root-user session; reads global capability catalog, tenant role grants, and assignments.","Read-only access across tenant_membership_role_assignment, tenant_role_capability_grant, and capability_definition records.","Yes","Indexes on tenant membership, role assignment, role grants, and capability keys support introspection reads.","Exact membership read; no large-scale search in phase one.","Requires authenticated root-user session.","Useful as a debugging and audit-support surface before tenant UI exists.","Valid authenticated root-user session","Central authorization seam plus root-user-only backend guard","None directly for API-only routes.","Authz introspection reads should themselves be audit-visible where policy requires.","Exposes tenant membership, role, and capability information to root-user operators only.","Touches privileged admin observability, auditability, and support tooling expectations.","Yes","Yes","Yes","Yes","No","Yes","Yes","Draft from ADR-0016 + authz PRD","v1 / proposed","Compose effective grants/scopes from assignments and tenant-role grants.","Read path reflects immediate changes after assignment/grant mutations.","Reject tenant actor/non-root access; no cross-tenant leak.","Read-access events audited if the platform chooses to audit admin inspection.","Unknown membership and partial-data edge handling.","n/a","Done when root users can inspect effective tenant authorization without reading raw persistence tables."
"authorization","evaluateAuthorizationCapability","backend","Foundation","First draft","Provide one central yes/no authorization decision seam for protected backend actions.","Business features can ask whether the current actor may execute one capability in the current tenant context.","Root users remain outside tenant authz; tenant grants combine by union; no deny semantics.","Authenticated tenant principal or root user","rootUser or tenant actor with required tenant-scoped role","capability-dependent by evaluation result","unauthenticated callers; tenant actors without required grants","Central backend evaluation seam; not a user-facing management API.","No direct frontend requirement in phase one; later used by UI visibility and disabling logic.","One central authorization service evaluates root-operator bypass, tenant assignments, and target relation rules.","Yes when management/admin surfaces invoke it","No","","","n/a","Uses current authenticated session context; one tenant context per request.","Later frontend may call downstream APIs based on server-declared visibility; backend remains authoritative.","No","Internal service seam, not public route in phase one","actorContext, capability, optional targetContext","allow/deny decision plus reason code and resolved scope hints when helpful","domain error or typed deny result; unauthenticated/invalid context failures when applicable","authorization domain/service plus exported public seam","Consumes authenticated principal/session context from auth layer and feature-owned relation resolvers where needed.","Read-only authorization evaluation over memberships, assignments, grants, and relation adapters.","Yes","Indexes supporting membership, grants, and capability lookup are required.","Exact evaluation for one capability/target.","Requires authenticated session context; tenant requests require one current tenant context; root-user operator path remains separate.","Must be callable without embedding authz logic in feature services; later optimization may materialize read models without changing call sites.","Valid authenticated session or root-user operator session","Central authorization seam","None directly for API-only routes.","Denies and admin overrides should be audit-visible where policy requires for sensitive capabilities.","Processes principal identity, tenant context, target entity identifiers, and role/capability metadata.","Touches access control, least privilege, authorization centralization, and future scaling concerns.","Yes","Yes","Yes","Yes","No","Yes","Yes","Draft from ADR-0016 + authz PRD","v1 / proposed","Union-of-grants logic; root-user bypass path; typed deny reasons.","Feature integration checks use the seam instead of local role logic.","Unauthorized, wrong-tenant, and missing-grant cases are deterministic and testable.","Sensitive allow/deny decisions and admin overrides audited where required.","Unknown target context and relation-resolver failure handling.","n/a","Done when one stable seam can answer yes/no capability checks without feature-local role logic."
"authorization","evaluateAuthorizationScope","backend","Foundation","First draft","Provide one central authorization scope seam for reads and lists.","Business features can ask what scope the current actor has over a resource type in the current tenant context.","Designed for own/team/tenant/all style filtering; may later map to query filters or materialized read models.","Authenticated tenant principal or root user","rootUser or tenant actor with required tenant-scoped role","capability-dependent by evaluation result","unauthenticated callers; tenant actors without required grants","Central backend scope-evaluation seam; not a user-facing management API.","No direct frontend requirement in phase one; later may inform client-side visibility hints.","One central authorization service resolves max permitted scope and feature-owned relation hints.","Yes when management/admin surfaces invoke it","No","","","n/a","Uses current authenticated session context; one tenant context per request.","Later frontend may reflect scope-aware visibility; backend remains authoritative.","No","Internal service seam, not public route in phase one","actorContext, capability, resourceType, optional filterContext","scope descriptor such as none/own/team/tenant/all plus optional relation hints","domain error or typed no-scope result; unauthenticated/invalid context failures when applicable","authorization domain/service plus exported public seam","Consumes authenticated principal/session context and feature-owned relation resolvers/scope adapters where needed.","Read-only authorization evaluation over memberships, assignments, grants, and relation adapters.","Yes","Indexes supporting membership, grants, and capability lookup are required.","Scope evaluation for resource-type read/list operations.","Requires authenticated session context; tenant requests require one current tenant context; root-user operator path remains separate.","Must permit later swap from dynamic scope computation to materialized optimization without changing feature-level callers.","Valid authenticated session or root-user operator session","Central authorization seam","None directly for API-only routes.","Resolved scopes and sensitive admin overrides should be audit-visible where policy requires.","Processes principal identity, tenant context, target resource type, and relation hints.","Touches access control, least privilege, read filtering, and future scaling concerns.","Yes","Yes","Yes","Yes","No","Yes","Yes","Draft from ADR-0016 + authz PRD","v1 / proposed","Resolve own/team/tenant/all from assigned roles and relation adapters.","Feature integration checks can derive list/read filtering from one seam.","Wrong-tenant, no-scope, and relation failure cases are deterministic.","Sensitive scope evaluations and admin overrides audited where policy requires.","Unknown resource type and incompatible relation-hint handling.","n/a","Done when one stable seam can answer read/list scope without feature-local role logic."
"authorization","recordAuthorizationAuditEvent","backend","Foundation","First draft","Persist durable audit evidence for authorization administration and sensitive evaluation outcomes.","Platform operators and auditors can reconstruct who changed authorization state and why.","Audit must capture actor, tenant, target, before/after, timestamp, and reason/comment; some sensitive runtime decisions may also be logged.","System-managed authorization feature","system-managed; invoked by rootUser actions and sensitive evaluation flows","system-managed internal capability","n/a","Internal durable audit behavior; not a human-facing role capability.","No frontend surface.","System-managed persistence within authorization feature; feature code should not bypass it for authz admin writes.","Yes when actor context exists","No","","","n/a","Uses current authenticated session context when available; internal writes only.","No client-side behavior.","No","Internal persistence capability, not public route in phase one","internal audit event payload from authz management and evaluation paths","stored audit-event summary or internal persistence acknowledgement","internal persistence failure handling only","authorization persistence/domain internal seam","Called by role-template, tenant-role, assignment, and sensitive evaluation paths; may align with broader audit/event strategy later.","Insert authorization_audit_event rows.","Yes","Indexes by tenant, actor, createdAt, target type/id.","Audit-read/search model can be added later; write path is first priority.","Uses actor/session context when available; system-generated metadata otherwise.","Audit schema should be durable and source-independent enough to support compliance review and rebuild-from-spec work.","Authenticated actor context when available; internal system actor otherwise","Authorization persistence internal seam plus caller-side requirement to emit audit events","None directly for API-only routes.","This capability is itself the audit backbone for authz management.","Stores operator identity, tenant identifiers, membership/role/capability identifiers, and reason/comment fields.","Touches auditability, least privilege, evidence retention, and compliance posture.","Yes","Yes","Yes","Yes","No","Yes","Yes","Draft from ADR-0016 + authz PRD","v1 / proposed","Validate event payload shape and before/after serialization rules.","Mutation flows write audit rows transactionally where required.","Audit writes cannot be bypassed for protected admin mutations.","Audit rows include actor, target, before/after, timestamp, and reason/comment.","Handling of partial write failures and idempotent repeat events.","n/a","Done when authorization administration cannot mutate durable state without durable audit visibility."
